Title;Authors;DOI;DOI link;Venue;Citation count;Year;Centrality of the Interoperability Problem;"Reasoning for ""Centrality of the Interoperability Problem""";Full-Text Accessibility;"Reasoning for ""Full-Text Accessibility""";Interlanguage collaboration;"Reasoning for ""Interlanguage collaboration""";Proof of Multilingual Systems;"Reasoning for ""Proof of Multilingual Systems""";Publication Language;"Reasoning for ""Publication Language""";Scientific field;"Reasoning for ""Scientific field""";Assessment Methods;"Reasoning for ""Assessment Methods""";Empirical Evidence;"Reasoning for ""Empirical Evidence""";Integration Scope;"Reasoning for ""Integration Scope""";Integration/Interoperability;"Reasoning for ""Integration/Interoperability""";Language Support;"Reasoning for ""Language Support""";Multilingual System Focus;"Reasoning for ""Multilingual System Focus""";Research Type;"Reasoning for ""Research Type""";Technical Solution;"Reasoning for ""Technical Solution""";Screening judgement;"Reasoning for ""Screening judgement""";Screening score;Reason code;Reason note
A Meta-Composite Software Development Approach for Translational Research;R. Sadasivam, M. Tanik;10.1007/s10916-013-9935-6;https://doi.org/10.1007/s10916-013-9935-6;Journal of medical systems;28;2013;maybe;While the paper discusses integration challenges, it is focused on tool composition rather than programming language interoperability specifically.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;The abstract does not specifically address interaction between components written in different programming languages.;no;There is no explicit mention of software systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be in the software engineering field, discussing software development approaches and system composition.;maybe;The abstract mentions usability studies, but these are not specifically focused on multilingual software interoperability.;yes;The paper includes empirical evaluation through usability studies.;yes;The integration aspects go beyond NLP, focusing on general tool composition.;maybe;The paper does address integration challenges, but at a tool composition level rather than programming language level.;maybe;"The abstract does not explicitly mention support for multiple programming languages. It discusses ""multiple, disparate tools"" but in a general sense, not specifically programming languages.";no;The paper does not focus on software systems handling multiple languages in the programming sense.;yes;The paper presents technical and empirical evidence.;yes;The paper presents a technical solution (concept-map and agent-based meta-composite software development approach).;Exclude;The research paper focuses on tool composition and integration in translational research, but does not specifically address multilingual programming language interoperability. While the study presents a technical approach to software development and includes empirical evaluation, it lacks explicit discussion of multiple programming languages or their interaction. The paper's scope and focus diverge from the detailed screening criteria related to multilingual software systems.;2.7;EC1;The research paper focuses on tool composition and integration in translational research, but does not specifically address multilingual programming language interoperability. While the study presents a technical approach to software development and includes e…
An Adaptive Semantic based Mediation System for Data Interoperability among Health Information Systems;W. A. Khan, A. Khattak, Maqbool Hussain, M. B. Amin, Muhammad Afzal, C. Nugent, Sungyoung Lee;10.1007/s10916-014-0028-y;https://doi.org/10.1007/s10916-014-0028-y;Journal of medical systems;45;2014;no;While interoperability is central to the paper, it's about healthcare data standards, not programming languages.;no;Cannot be determined from abstract alone.;no;The paper discusses interoperability between different healthcare standards (CDA and vMR), but not between programming languages.;no;No mention of multiple programming languages.;yes;The abstract is in English.;maybe;While this appears to be a technical paper, it's focused on healthcare information systems rather than software engineering or programming languages specifically.;no;The paper presents evaluation methods (90% accuracy in transformation), but for healthcare data, not programming language interoperability.;no;The paper includes empirical evaluation, but not of programming language integration.;no;The paper focuses on healthcare data integration, which is beyond NLP, but not relevant to programming language integration.;no;While the paper focuses on integration, it's specifically about healthcare data standards, not programming language integration.;no;The paper focuses on data interoperability between different healthcare standards, not programming languages.;no;The paper focuses on multiple healthcare standards, but not programming languages.;yes;The paper presents technical and empirical evidence.;no;The paper presents a technical solution (ARIEN), but for healthcare data interoperability, not programming language integration.;Exclude;The research paper focuses on healthcare data interoperability between different medical standards, presenting a technical solution for information exchange, but does not address programming language integration or multilingual software systems. Despite being a rigorous technical study with empirical evidence, the work fundamentally diverges from the screening criteria's focus on programming language collaboration and software engineering. Consequently, the paper fails to meet the majority of the specified screening requirements.;1.4;EC4;Cannot be determined from abstract alone.
Collaborative Model-Driven Software Engineering: A Classification Framework and a Research Map;Mirco Franzago, D. D. Ruscio, I. Malavolta, H. Muccini;10.1145/3180155.3182543;https://doi.org/10.1145/3180155.3182543;IEEE Transactions on Software Engineering;88;2018;no;While the paper discusses collaboration and integration, it is not specifically about programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not focus on interaction between components in different programming languages. It focuses on collaborative model-driven engineering.;no;There is no evidence of analyzing systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;This appears to be a systematic mapping study in software engineering, meeting this criterion.;maybe;The paper presents a systematic mapping methodology, but not specifically for evaluating multilingual software interoperability.;maybe;The paper includes empirical evaluation through a systematic mapping study, but not of multilingual systems.;maybe;The paper goes beyond NLP, but does not address the specific integration aspects we are looking for.;maybe;While integration is discussed, it is in the context of collaborative modeling rather than programming language interoperability.;maybe;The abstract does not explicitly discuss multiple programming languages. It focuses on collaborative model-driven software engineering, but does not mention language support.;no;There is no evidence of focus on multilingual systems.;yes;This is a technical research paper with empirical evidence.;no;While technical solutions are discussed, they are not related to multilingual software integration.;Exclude;The systematic mapping study on collaborative model-driven software engineering fails to meet key screening criteria related to multilingual systems and programming language interoperability. While the paper demonstrates rigorous research methodology in software engineering, it does not address the specific focus on multilingual software integration or programming language interactions. Consequently, the study does not align with the core requirements of the systematic review.;2.5;EC1;The systematic mapping study on collaborative model-driven software engineering fails to meet key screening criteria related to multilingual systems and programming language interoperability. While the paper demonstrates rigorous research methodology in softwa…
An empirical study on the evaluation of interlinking tools on the Web of Data;Enayat Rajabi, M. Sicilia, Salvador Sánchez-Alonso;10.1177/0165551514538151;https://doi.org/10.1177/0165551514538151;Journal of information science;16;2014;no;While the paper discusses interoperability, it is about data linking rather than programming language interoperability.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The paper does not address interaction between programming languages. It discusses data interlinking tools.;no;There is no mention of software systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;no;While this appears to be a technical paper, it is focused on data linking rather than software engineering or programming languages specifically.;no;The paper does present assessment methods, but for data interlinking tools rather than programming language interoperability.;no;The paper includes empirical evaluation, but not of multilingual software systems.;no;The paper focuses on data integration, not software integration.;no;While integration is discussed, it is at the data level rather than the programming language level.;no;The abstract does not mention anything about supporting multiple programming languages. It focuses on data linking and interlinking tools instead.;no;There is no evidence of focus on multilingual software systems.;yes;The paper presents technical and empirical evidence, meeting this criterion.;no;While technical solutions are presented, they are for data interlinking rather than programming language integration.;Exclude;The abstract focuses on data interlinking tools and Linked Data, which fundamentally diverges from the screening criteria's emphasis on multilingual software systems and programming language interoperability. Despite being a technical paper with empirical evidence, the research does not address programming language interactions, software integration challenges, or multilingual system development. Consequently, the paper fails to meet the core screening requirements for the systematic review.;1.4;EC1;The abstract focuses on data interlinking tools and Linked Data, which fundamentally diverges from the screening criteria's emphasis on multilingual software systems and programming language interoperability. Despite being a technical paper with empirical evid…
Feedback Matching Framework for Semantic Interoperability of Product Data;I. Yeo, Lalit Patil, D. Dutta;10.1109/TASE.2011.2171950;https://doi.org/10.1109/TASE.2011.2171950;IEEE Transactions on Automation Science and Engineering;1;2012;no;While interoperability is central to the paper, it is about product data interoperability, not programming language interoperability.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The paper does not focus on interaction between programming languages. Instead, it deals with semantic mapping between product data representations.;no;There is no evidence of the paper analyzing systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering or related field, focusing on product data interoperability.;maybe;The paper does present assessment methods (FEMFIT framework, accuracy metrics), but for product data mapping, not programming language interoperability.;yes;The paper includes empirical evaluation comparing FEMFIT with other methods.;yes;The paper goes beyond NLP, focusing on product data integration.;maybe;The paper addresses integration challenges, but in the context of product data, not programming languages.;no;The abstract does not explicitly discuss multiple programming languages. Instead, it focuses on semantic mapping across different representations, which appear to be product data representations rather than programming languages.;no;The focus is on semantic mapping across different representations, but not specifically programming languages.;yes;The paper presents technical and empirical evidence.;maybe;The paper presents a technical solution (FEMFIT), but for product data mapping rather than programming language integration.;Exclude;The research focuses on product data interoperability and semantic mapping, which fundamentally differs from programming language integration. Despite presenting a technical solution with empirical evidence, the study does not address multilingual software systems or programming language interactions. Consequently, the paper does not meet the core screening criteria for multilingual software system research.;1.4;EC2;The research focuses on product data interoperability and semantic mapping, which fundamentally differs from programming language integration. Despite presenting a technical solution with empirical evidence, the study does not address multilingual software sys…
Assessing semantic interoperability in environmental sciences: variety of approaches and semantic artefacts;Cristina Di Muri, Martina Pulieri, Davide Raho, Alexandra N Muresan, Andrea Tarallo, Jessica Titocci, Enrica Nestola, Alberto Basset, Sabrina Mazzoni, Ilaria Rosati;10.1038/s41597-024-03669-3;https://doi.org/10.1038/s41597-024-03669-3;Scientific Data;2;2024;no;While interoperability is discussed, it is about semantic artifacts and metadata standards, not programming language interaction.;maybe;The full text accessibility cannot be determined from the abstract alone, but the paper appears to be a recent publication with a copyright notice.;no;The paper does not address programming language interaction.;no;The paper does not mention any software systems built with multiple programming languages.;yes;The paper is written in English.;no;The paper is focused on environmental sciences and semantic standards rather than software engineering or programming languages.;no;The paper presents assessment methods, but for semantic artifacts rather than programming language interoperability.;no;The study includes empirical evaluation, but not of multilingual software systems.;no;The paper focuses on semantic standards and metadata, not software integration.;no;The integration discussed in the paper is not in the context of multilingual software.;no;The abstract does not explicitly discuss multiple programming languages, and instead focuses on semantic artifacts and metadata standards.;no;The paper does not focus on multilingual software systems.;yes;The study presents technical and empirical evidence.;no;The solutions discussed in the paper are for semantic interoperability, not programming language integration.;Exclude;The research paper focuses on semantic artifacts and metadata standards in environmental sciences, fundamentally diverging from the systematic review's criteria for multilingual software systems and programming language interoperability. Despite presenting empirical research and technical solutions, the study fails to meet the core screening requirements related to software engineering, programming language interaction, and multilingual system integration. Consequently, the paper does not align with the specified research domain and would be excluded from the systematic review.;1.4;EC1;The research paper focuses on semantic artifacts and metadata standards in environmental sciences, fundamentally diverging from the systematic review's criteria for multilingual software systems and programming language interoperability. Despite presenting emp…
A unified component-based data-driven framework to support interoperability in the healthcare systems;Amir Torab-Miandoab, Taha Samad-Soltani, Ahmadreza Jodati, Fariborz Akbarzadeh, Peyman Rezaei-Hachesu;10.1016/j.heliyon.2024.e35036;https://doi.org/10.1016/j.heliyon.2024.e35036;Heliyon;5;2024;no;While interoperability is central to the paper, it's about healthcare system interoperability, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not address programming language interaction. It focuses on healthcare system interoperability.;no;No mention of programming languages or multilingual systems.;yes;The abstract is in English.;maybe;While this appears to be a technical paper, it's focused on healthcare systems rather than software engineering specifically.;no;The paper presents assessment methods (Delphi method, literature review), but not for programming language interoperability.;yes;The paper includes empirical evaluation through expert validation and literature review.;no;The paper addresses integration beyond NLP, but not in the context of programming languages.;no;While the paper focuses on integration, it's not about programming language integration.;no;The abstract does not mention support for multiple programming languages. It focuses on healthcare system interoperability in general.;no;No focus on multilingual systems in the programming sense.;yes;The paper presents technical and empirical evidence.;no;While the paper presents a technical framework, it's not for programming language integration.;Exclude;The research paper focuses on healthcare system interoperability and does not address programming language interaction or multilingual software systems. Despite presenting a robust methodology and empirical evidence, the study fails to meet the core screening criteria related to programming language collaboration and technical integration challenges. Consequently, the paper does not align with the systematic review's specific requirements for multilingual software research.;1.4;EC1;The research paper focuses on healthcare system interoperability and does not address programming language interaction or multilingual software systems. Despite presenting a robust methodology and empirical evidence, the study fails to meet the core screening …
eHealth;B. Blobel, J. Zvárová;10.1055/s-0038-1625240;https://doi.org/10.1055/s-0038-1625240;Methods of Information in Medicine;64;2010;no;While interoperability is central to the paper, it focuses on healthcare system interoperability rather than programming language interaction.;maybe;The abstract indicates the paper is published in Methods of Information in Medicine, which is likely accessible through academic channels.;no;While the paper discusses interoperability, it focuses on healthcare systems and ontologies rather than programming language interaction.;no;There is no explicit mention of specific programming languages or multilingual software systems.;yes;The paper is written in English.;maybe;The paper is published in Methods of Information in Medicine, which is a recognized journal in medical informatics, but not specifically software engineering.;maybe;The abstract does not clearly indicate specific assessment methods for interoperability.;maybe;The abstract does not clearly indicate empirical evaluation.;yes;The paper goes beyond NLP, focusing on healthcare system integration.;maybe;The paper does address integration challenges, but in the context of healthcare systems rather than programming languages.;maybe;"The abstract mentions ""different knowledge representation and domain experts' languages"" but does not specifically address programming language support.";no;While the paper discusses multiple systems, it is not focused on programming language multilingualism.;yes;The paper appears to present technical content rather than just opinions.;maybe;The paper discusses architectural challenges and solutions, but for healthcare systems rather than programming language integration.;Exclude;The abstract focuses on healthcare system interoperability and ontological challenges, but does not address programming language multilingualism or software system integration across different programming languages. While the paper presents technical insights into healthcare information systems, it fails to meet the core screening criteria related to multilingual software development and programming language interaction. Consequently, the study does not align with the systematic review's specific requirements for multilingual software research.;2.5;EC1;The abstract focuses on healthcare system interoperability and ontological challenges, but does not address programming language multilingualism or software system integration across different programming languages. While the paper presents technical insights …
The GEOSS solution for enabling data interoperability and integrative research;S. Nativi, P. Mazzetti, M. Craglia, N. Pirrone;10.1007/s11356-013-2264-y;https://doi.org/10.1007/s11356-013-2264-y;Environmental science and pollution research international;18;2014;no;While interoperability is central to the paper, it's not focused on programming language interaction challenges.;maybe;Cannot be determined from the abstract alone.;no;The paper discusses interoperability, but not specifically between programming languages. It focuses on data and information sharing across systems.;no;No mention of specific programming languages or multilingual software systems.;yes;The abstract is written in English, meeting this criterion.;no;The paper appears to be from a field related to digital infrastructure and sustainability research, not specifically software engineering or programming languages.;maybe;"The paper mentions ""standards models, interfaces, and good practices"" but doesn't specifically detail assessment methods for programming language interoperability.";maybe;The paper appears to present case studies from three projects, but not specifically related to multilingual software systems.;maybe;The paper goes beyond NLP, but focuses on general system interoperability rather than programming language integration.;maybe;The paper does address integration and interoperability, but at a system and data level, not specifically for programming languages.;maybe;The abstract does not explicitly mention support for multiple programming languages. It discusses interoperability in a general sense, but not specifically for programming languages.;no;The paper doesn't focus on software systems handling multiple languages in the programming sense.;yes;The paper presents technical content and case studies, meeting this criterion.;maybe;While the paper presents technical solutions (interoperability service bus), these aren't specific to multilingual software integration.;Exclude;The abstract discusses system interoperability in sustainability research, but fails to meet most screening criteria related to multilingual programming systems. Specifically, it lacks focus on programming language interaction, does not address software engineering domains, and does not present technical solutions for multilingual software integration. The paper's scope is fundamentally different from the targeted research area.;1.4;EC1;The abstract discusses system interoperability in sustainability research, but fails to meet most screening criteria related to multilingual programming systems. Specifically, it lacks focus on programming language interaction, does not address software engine…
Legal Interoperability as a Comprehensive Concept in Transnational Law;A. Santosuosso, Alessandra Malerba;10.5235/17579961.6.1.51;https://doi.org/10.5235/17579961.6.1.51;-;11;2014;no;While interoperability is the main subject, it's discussed at a general level rather than specifically about programming language interactions.;maybe;Cannot be determined from the abstract alone.;no;The abstract does not mention anything about components written in different programming languages.;no;No specific software systems are mentioned or analyzed.;yes;The abstract is in English, meeting this criterion.;no;While it mentions ICT, it appears to be more of a general discussion of interoperability rather than specifically focused on software engineering or programming languages.;no;No assessment methods or metrics are mentioned.;no;No empirical evaluation is mentioned.;no;The abstract suggests a broad discussion of interoperability rather than specific software integration aspects.;no;The paper does discuss interoperability, but at a very general level rather than specifically in multilingual software contexts.;no;The abstract does not specifically mention support for multiple programming languages. It discusses interoperability in general ICT terms.;no;No mention of software systems handling multiple languages.;no;The abstract suggests this might be more of an overview or editorial piece rather than presenting technical or empirical evidence.;no;No technical solutions or frameworks are mentioned.;Exclude;The abstract discusses interoperability in general ICT terms but lacks specific focus on multilingual software systems, programming language interactions, or technical solutions. Most screening criteria related to software engineering, language integration, and empirical research are not met, indicating the paper does not align with the systematic review's requirements. The text appears to be a broad conceptual overview rather than a targeted technical analysis of multilingual software interoperability.;1.4;EC1;The abstract discusses interoperability in general ICT terms but lacks specific focus on multilingual software systems, programming language interactions, or technical solutions. Most screening criteria related to software engineering, language integration, an…
The Challenge of Cross-language Interoperability;D. Chisnall;10.1145/2542661.2543971;https://doi.org/10.1145/2542661.2543971;Queue;26;2013;yes;Interoperability between languages is clearly the main subject of the paper.;yes;The full-text accessibility cannot be determined from the abstract alone.;yes;The paper's primary focus is on the interaction between components in different programming languages.;maybe;While the paper mentions specific systems (COM, CORBA, JVM, CLR), it's not clear if it analyzes specific multilingual software systems.;maybe;The abstract is in English, though it's not certain about the full paper.;maybe;The content appears to be from the software engineering/programming languages domain.;no;The abstract doesn't mention specific assessment methods or metrics.;no;The abstract doesn't indicate whether empirical evaluation is included.;yes;The focus is on general programming language integration, not just NLP.;yes;The paper explicitly focuses on integration challenges.;yes;The abstract explicitly discusses interoperability between multiple programming languages, indicating that the study addresses systems supporting multiple languages.;yes;The paper clearly focuses on systems handling multiple programming languages.;maybe;While the paper discusses technical solutions, it's not clear if it presents empirical evidence.;yes;The paper discusses various technical solutions (COM, CORBA, VMs).;Include;The abstract demonstrates strong alignment with language interoperability and integration challenges across programming languages, presenting technical solutions like COM, CORBA, and virtual machines. While the paper appears to focus on multilingual software systems and their integration challenges, there are uncertainties regarding empirical evidence, specific system analysis, and full-text accessibility. The research seems to offer a comprehensive overview of language integration strategies with potential technical insights.;4;IC;"Meets IC; no EC triggered."
On the evaluation of thesaurus tools compatible with the Semantic Web;M. Martínez-González, María-Luisa Alvite-Díez;10.1177/0165551514545603;https://doi.org/10.1177/0165551514545603;Journal of information science;12;2014;no;While interoperability is discussed, it is about information exchange between thesauri, not programming language interoperability.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The paper does not focus on the interaction between different programming languages. Instead, it discusses thesaurus tools and information interoperability.;no;There is no evidence in the abstract of the paper analyzing software systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a relevant field (information systems and software engineering), though the exact publication venue is not specified.;no;"The abstract mentions an ""evaluation framework"" but for thesaurus tools, not programming language interoperability.";maybe;The abstract suggests an evaluation framework but does not explicitly mention empirical evaluation.;no;The paper focuses on thesaurus systems and information retrieval, which is related to but not the same as programming language integration.;no;While integration is discussed, it is about software tools for thesauri, not multilingual programming integration.;no;The abstract does not explicitly discuss multiple programming languages. Instead, it focuses on thesauri and information systems, not programming language support.;no;The paper does not focus on software systems handling multiple programming languages.;yes;The paper appears to present technical content rather than just opinions.;no;While technical solutions are discussed, they are for thesaurus management, not programming language integration.;Exclude;The abstract focuses on thesaurus systems and information interoperability, fundamentally diverging from the systematic review's core interest in programming language interoperability. Despite being in English and presenting technical content, the paper lacks critical elements such as multilingual programming language interaction, software system analysis, and empirical evidence related to programming language integration. Consequently, the abstract does not meet the essential screening criteria for the systematic review.;1.4;EC1;The abstract focuses on thesaurus systems and information interoperability, fundamentally diverging from the systematic review's core interest in programming language interoperability. Despite being in English and presenting technical content, the paper lacks …
System requirements-OSS components: matching and mismatch resolution practices – an empirical study;Claudia P. Ayala, A. Duc, Xavier Franch, Martin Höst, R. Conradi, D. Cruzes, M. Babar;10.1007/s10664-017-9594-1;https://doi.org/10.1007/s10664-017-9594-1;Empirical Software Engineering;14;2018;no;While the paper discusses integration challenges, these are not specifically related to programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper does not address interaction between different programming languages. It focuses on OSS component integration in general.;no;No evidence of analyzing systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, focusing on requirements engineering and OSS integration.;maybe;The paper presents empirical research through interviews and analysis of 25 projects, but not specifically for multilingual software interoperability.;maybe;The paper includes strong empirical evidence through 25 interviews across multiple companies, but not focused on multilingual systems.;no;The paper addresses general software integration, not specifically NLP or multilingual aspects.;no;While integration is discussed, it's about OSS components in general, not specifically about multilingual software contexts.;no;The abstract does not mention anything about multiple programming languages or language support. It focuses on OSS component integration in general.;no;No evidence of focus on multilingual systems or locales.;yes;The paper presents empirical evidence through interviews and analysis, meeting this criterion.;no;While the paper discusses integration practices, it's not specifically about multilingual software integration.;Exclude;The research paper focuses on Open Source Software component integration and requirements engineering, but lacks specific evidence of multilingual programming language interactions or systems. Despite presenting robust empirical research through interviews across multiple companies, the study does not address the core screening criteria related to multilingual software interoperability. Consequently, the paper does not meet the essential requirements for inclusion in the systematic review.;1.4;EC1;The research paper focuses on Open Source Software component integration and requirements engineering, but lacks specific evidence of multilingual programming language interactions or systems. Despite presenting robust empirical research through interviews acr…
Evaluate Transferability in Multilingual Analysis;Justin Chun-ting Ho, Chung-hong Chan;10.5117/ccr2023.2.2.ho;https://doi.org/10.5117/ccr2023.2.2.ho;Computational Communication Research;0;2023;no;The main subject is transferability in text analysis, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The paper focuses on multilingual text analysis using mBERT, not on interaction between different programming languages.;no;While it discusses multilingual analysis, it doesn't address software systems built with multiple programming languages.;yes;The abstract is in English.;maybe;While it appears to be a technical paper, it's not clearly situated in software engineering or programming languages, but rather in natural language processing.;yes;The paper presents evaluation methods for transferability, but not for programming language interoperability.;yes;The study includes empirical evaluation, but not of multilingual software systems.;no;The paper focuses specifically on natural language processing.;no;The focus is on text analysis transferability, not software integration.;yes;The paper explicitly deals with multiple languages, analyzing text across different language contexts.;maybe;While it deals with multiple languages, it's in the context of text analysis rather than software systems.;yes;The study presents technical and empirical evidence.;yes;The paper presents technical solutions, but for text analysis rather than software integration.;Exclude;The research focuses on multilingual text analysis using mBERT, primarily addressing natural language processing challenges rather than software engineering or programming language interoperability. Despite presenting technical solutions and empirical evidence, the study does not meet key screening criteria related to multilingual software systems, programming language integration, or software engineering domains. Consequently, the paper falls outside the systematic review's core research scope.;2.5;EC1;The research focuses on multilingual text analysis using mBERT, primarily addressing natural language processing challenges rather than software engineering or programming language interoperability. Despite presenting technical solutions and empirical evidence…
Experimental IR Meets Multilinguality, Multimodality, and Interaction;Hanna Suominen, Liadh Kelly, Lorraine Goeuriot, A. Névéol, Lionel Ramadier, Aude Robert, E. Kanoulas, René Spijker, Leif Azzopardi, Dan Li, Jimmy, João Palotti, Guido Zuccon;10.1007/978-3-319-65813-1;https://doi.org/10.1007/978-3-319-65813-1;Lecture Notes in Computer Science;51;2017;no;I could not determine from the abstract whether the main subject of the article is a technical or empirical challenge caused by the interaction between several programming languages within the same software system.;no;I could not determine from the abstract whether the full text of the paper is accessible for review.;no;I could not determine from the abstract whether the article focuses primarily on the interaction of components written in different programming languages within the same software system.;no;I could not determine from the abstract whether the article explicitly names and analyses a software system built with multiple general-purpose programming languages.;maybe;I noted that the abstract is in English, but this is just a conference proceedings header.;no;I noted that the CLEF conference appears to be related to natural language processing rather than software engineering.;no;I could not determine from the abstract whether the study presents assessment methods or metrics for evaluating multilingual software interoperability.;no;I could not determine from the abstract whether the study includes empirical evaluation or assessment of multilingual software system implementation.;no;"I noted that the ""Cross-Language"" focus suggests this may be focused on natural language processing rather than software integration.";no;I could not determine from the abstract whether the research examines interoperability or integration challenges in multilingual software contexts.;no;I could not determine from the abstract whether the study addresses systems supporting multiple languages.;maybe;"I noted that the ""Cross-Language"" focus suggests possible relevance, but likely in the context of natural language processing.";no;I could not determine from the abstract whether the study presents technical or empirical evidence.;no;I could not determine from the abstract whether the study presents technical solutions, frameworks, or architectures for multilingual software integration.;Exclude;The extremely brief and incomplete conference proceedings header provides insufficient information to assess most screening criteria, with strong indications that the content relates to natural language processing rather than software engineering. The lack of substantive details prevents meaningful determination of the study's alignment with multilingual software system research requirements.;1.4;EC4;I could not determine from the abstract whether the full text of the paper is accessible for review.
A new approach towards systems integration within the mechatronic engineering design process of manufacturing systems;Malte Prösser, P. Moore, X. Chen, C. Wong, Ulrich Schmidt;10.1080/0951192X.2013.785026;https://doi.org/10.1080/0951192X.2013.785026;International journal of computer integrated manufacturing (Print);11;2013;maybe;While the paper does address integration challenges, it is focused on tool integration rather than programming language interoperability specifically.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;The abstract does not specifically address programming language interaction. It focuses on tool integration at a higher level.;no;There is no explicit mention of specific programming languages or multilingual systems.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering/mechatronics field, likely meeting this criterion.;maybe;"The abstract mentions a ""middle-in data modelling strategy"" but does not explicitly detail assessment methods for language interoperability.";yes;The abstract mentions successful application in the automotive industry, suggesting some empirical evaluation.;yes;The paper goes beyond NLP, focusing on mechatronics and production facilities.;maybe;The paper does address integration challenges, but at a tool level rather than programming language level.;maybe;The abstract does not explicitly mention multiple programming languages. It discusses integration of software tools but not specifically language-level integration.;maybe;The focus is on tool integration rather than multilingual systems specifically.;yes;The paper presents technical evidence and solutions rather than just opinions.;maybe;The paper presents a technical solution (middle-in data modelling strategy) but not specifically for multilingual software integration.;Exclude;The abstract describes a mechatronics integration approach focused on tool-level collaboration, but lacks specific evidence of multilingual programming language interoperability. While the research presents a technical solution for software tool integration in automotive production, it does not meet the core screening criteria related to programming language interaction and multilingual system challenges.;2.7;EC1;The abstract describes a mechatronics integration approach focused on tool-level collaboration, but lacks specific evidence of multilingual programming language interoperability. While the research presents a technical solution for software tool integration in…
Enhancing factory data integration through the development of an ontology: from the reference models reuse to the semantic conversion of the legacy models;G. Modoni, M. Doukas, W. Terkaj, M. Sacco, D. Mourtzis;10.1080/0951192X.2016.1268720;https://doi.org/10.1080/0951192X.2016.1268720;International journal of computer integrated manufacturing (Print);33;2017;maybe;While interoperability is central to the paper, it is focused on data integration and semantic interoperability rather than programming language interaction.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;"The paper focuses on data integration and semantic interoperability, but not specifically between programming languages. It discusses ""mutually incompatible systems"" but in a general sense.";no;The abstract does not mention any specific software systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, focusing on data integration and semantic technologies.;yes;"The paper mentions a ""systematic approach"" and includes a case study, suggesting some assessment methods.";yes;The paper includes a real case study from a mould-making company, providing empirical evidence.;yes;The paper goes beyond NLP, focusing on manufacturing data integration.;yes;The paper strongly focuses on integration and interoperability, but at the data/semantic level rather than programming language level.;maybe;The abstract does not explicitly mention multiple programming languages. It discusses data integration and semantic interoperability, but not specifically between programming languages.;no;The paper does not focus on software systems handling multiple languages in the programming sense.;yes;The paper presents technical solutions and empirical evidence through a case study.;maybe;The paper presents a technical solution for semantic integration, but not specifically for programming language integration.;Exclude;The abstract focuses on data integration and semantic interoperability in manufacturing contexts, but does not address programming language interactions or multilingual software systems. While the paper presents a technical approach with empirical evidence, it fails to meet the core screening criteria related to programming language interoperability and multilingual system development.;2.7;EC1;The abstract focuses on data integration and semantic interoperability in manufacturing contexts, but does not address programming language interactions or multilingual software systems. While the paper presents a technical approach with empirical evidence, it…
