Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language
Multilingual Conversational Systems to Drive the Collection of Patient-Reported Outcomes and Integration into Clinical Workflows,2021,Symmetry,https://doi.org/10.3390/sym13071187,Exclude,EC1,"The research presents a multilingual healthcare system supporting five languages, but does not address programming language interoperability as specified in the screening criteria. While technically sophisticated and focused on integration challenges, the stud…",maybe,yes
ESCO: Boosting Job Matching in Europe with Semantic Interoperability,2014,Computer,https://doi.org/10.1109/MC.2014.283,Exclude,EC1,"The abstract describes a multilingual classification system for skills and occupations, focusing on natural language interoperability rather than programming language integration. Despite being in English, the text fails to meet most screening criteria related…",maybe,yes
A systemic approach for effective semantic access to cultural content,2012,Semantic Web,https://doi.org/10.3233/SW-2012-0051,Exclude,EC1,"The research focuses on semantic interoperability in cultural heritage systems, addressing metadata schema mapping and query answering, but does not meet the screening criteria related to programming language multilingualism or software system integration. Whi…",maybe,yes
Multilingual question answering systems for knowledge graphs - a survey,2024,Semantic Web,https://doi.org/10.3233/sw-243633,Exclude,EC1,"The systematic review focuses on multilingual Knowledge Graph Question Answering, primarily addressing natural language processing rather than programming language interoperability. While the study demonstrates rigorous methodology and comprehensive analysis o…",maybe,yes
Principles and Standards for Designing and Managing Integrable and Interoperable Transformed Health Ecosystems,2023,Journal of Personalized Medicine,https://doi.org/10.3390/jpm13111579,Exclude,EC1,"The abstract focuses on healthcare system integration and standards, fundamentally diverging from the systematic review's core criteria of programming language interoperability. Despite addressing technical integration, the paper lacks specific discussion of m…",maybe,yes
"An information-theoretic, vector-space-model approach to cross-language information retrieval*",2011,Natural Language Engineering,https://doi.org/10.1017/S1351324910000185,Exclude,EC4,Cannot be determined from the abstract alone.,no,yes
Barriers and Possibilities for Interdisciplinary Disaster Science Research: Critical Appraisal of the Literature,2022,Natural Hazards Review,https://doi.org/10.1061/(asce)nh.1527-6996.0000520,Exclude,EC1,"The abstract focuses on interdisciplinary research collaboration and data integration challenges across disciplines, but does not address programming language interoperability or multilingual software systems. Despite discussing integration and systematic revi…",maybe,yes
Quality interoperability within digital libraries: the DL.org perspective,2010,-,-,Exclude,EC1,"The abstract focuses on digital library interoperability and quality frameworks, which fundamentally differs from the required criteria of multilingual programming language interaction. Despite presenting technical research on interoperability, the paper lacks…",maybe,yes
"User Experience, Functionality and Aesthetics Evaluation in an Academic Multi-Site Web Ecosystem",2024,Future Internet,https://doi.org/10.3390/fi16030092,Exclude,EC1,"The study focuses on a multi-site web ecosystem for content management, which fundamentally differs from the required focus on programming language interoperability. Despite presenting empirical evidence and technical solutions, the research does not address i…",maybe,yes
An approach for the semantic interoperability of ISO EN 13606 and OpenEHR archetypes,2010,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2010.05.013,Exclude,EC1,"The research addresses interoperability between healthcare information standards, but fails to meet key screening criteria related to programming language interaction and multilingual software systems. Despite presenting a technical solution with empirical tes…",maybe,yes
"Interoperability based on IEC 61850 standard: Systematic literature review, certification method proposal, and case study",2023,Electric power systems research,https://doi.org/10.1016/j.epsr.2023.109355,Exclude,EC1,"The abstract describes an electrical systems interoperability study that fundamentally diverges from the screening criteria focused on multilingual programming systems. Despite presenting a rigorous technical approach with empirical evidence, the paper fails t…",maybe,yes
Copula-based software metrics aggregation,2021,Software quality journal,https://doi.org/10.1007/s11219-021-09568-9,Exclude,EC1,"The research paper focuses on software quality metrics and aggregation techniques, presenting empirical studies on bug prediction and maintainability, but does not address multilingual software systems or programming language interoperability. Despite being a …",maybe,yes
Evaluation Methodology of Interoperability for the Industrial Domain: Standardization vs. Mediation,2023,Processes,https://doi.org/10.3390/pr11041274,Exclude,EC1,"The abstract addresses interoperability in industrial contexts but lacks specific focus on programming language interactions or multilingual software systems. While presenting a technical methodology for domain integration, the paper does not meet the core scr…",maybe,yes
A case study research on interoperability improvement in Smart Grids: state-of-the-art and further opportunities,2021,Open Research Europe,https://doi.org/10.12688/OPENRESEUROPE.13313.1,Exclude,EC1,"The abstract discusses system integration in Smart Grids but lacks specific focus on multilingual programming systems or programming language interoperability. While the paper demonstrates empirical research and addresses integration challenges, it does not me…",maybe,yes
Coordinating social programmes: Analysis of scenarios and implementation approaches based on the ISSA Guidelines on ICT,2016,-,https://doi.org/10.1111/ISSR.12118,Exclude,EC1,"The abstract focuses on social security system integration and policy coordination, which fundamentally differs from the required criteria of multilingual programming language interoperability. Despite discussing system integration, the text lacks specific ref…",maybe,yes
Emergent Middleware: Tackling the Interoperability Problem,2012,IEEE Internet Computing,https://doi.org/10.1109/MIC.2012.7,Exclude,EC1,"The abstract addresses distributed systems and interoperability challenges, but lacks explicit evidence of multilingual programming language interaction. While demonstrating technical relevance to software engineering, the text fails to clearly meet several ke…",maybe,yes
A unified structural/terminological interoperability framework based on LexEVS: application to TRANSFoRm,2013,J. Am. Medical Informatics Assoc.,https://doi.org/10.1136/amiajnl-2012-001312,Exclude,EC1,"The research paper addresses data integration and interoperability in biomedical contexts, but does not focus on programming language interactions or multilingual software systems. While technically rigorous and presenting empirical evidence, the study falls s…",maybe,yes
Special issue on Current trends in research on software agents and agent-based software systems,2021,Autonomous Agents and Multi-Agent Systems,https://doi.org/10.1007/s10458-021-09510-0,Exclude,EC1,"The abstract lacks explicit evidence of multilingual programming systems, language interoperability, or technical solutions for cross-language software integration. While discussing agent-based software systems, it fails to meet critical screening criteria rel…",maybe,yes
"Web 2.0, Language Resources and standards to automatically build a multilingual Named Entity Lexicon",2011,Language Resources and Evaluation,https://doi.org/10.1007/s10579-011-9148-x,Exclude,EC1,"The research focuses on computational linguistics and language resource integration across multiple languages, but fundamentally diverges from the screening criteria's emphasis on programming language interoperability. While demonstrating technical rigor in mu…",maybe,yes
An efficient any language approach for the integration of phrases in document retrieval,2010,Language Resources and Evaluation,https://doi.org/10.1007/s10579-009-9102-3,Exclude,EC4,The full-text accessibility of the paper cannot be determined from the abstract alone.,no,maybe
An Analysis of Machine Learning-Based Semantic Matchmaking,2023,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3259360,Exclude,EC1,"The research paper addresses IoT device integration and semantic matchmaking, but does not meet the core screening criteria related to programming language interoperability. While the study presents empirical evidence and technical solutions, it fundamentally …",maybe,yes
"Special Topic Interoperability and EHR: Combining openEHR, SNOMED, IHE, and Continua as approaches to interoperability on national eHealth",2017,Applied Clinical Informatics,https://doi.org/10.4338/ACI-2017-01-RA-0011,Exclude,EC1,"The research paper focuses on healthcare system interoperability standards and does not address programming language integration or multilingual software systems. Despite being a technical analysis with empirical evidence, the study fails to meet most screenin…",maybe,yes
Enabling semantic interoperability in multi-centric clinical trials on breast cancer,2015,Comput. Methods Programs Biomed.,https://doi.org/10.1016/j.cmpb.2015.01.003,Exclude,EC1,"The paper focuses on semantic interoperability in medical data standards, not programming language interaction, and therefore fails to meet most screening criteria related to multilingual software systems. While technically rigorous and presenting empirical ev…",yes,yes
A Meta-Composite Software Development Approach for Translational Research,2013,Journal of medical systems,https://doi.org/10.1007/s10916-013-9935-6,Exclude,EC1,"The research paper focuses on tool composition and integration in translational research, but does not specifically address multilingual programming language interoperability. While the study presents a technical approach to software development and includes e…",maybe,yes
An Adaptive Semantic based Mediation System for Data Interoperability among Health Information Systems,2014,Journal of medical systems,https://doi.org/10.1007/s10916-014-0028-y,Exclude,EC4,Cannot be determined from abstract alone.,no,yes
Collaborative Model-Driven Software Engineering: A Classification Framework and a Research Map,2018,IEEE Transactions on Software Engineering,https://doi.org/10.1145/3180155.3182543,Exclude,EC1,The systematic mapping study on collaborative model-driven software engineering fails to meet key screening criteria related to multilingual systems and programming language interoperability. While the paper demonstrates rigorous research methodology in softwa…,maybe,yes
An empirical study on the evaluation of interlinking tools on the Web of Data,2014,Journal of information science,https://doi.org/10.1177/0165551514538151,Exclude,EC1,"The abstract focuses on data interlinking tools and Linked Data, which fundamentally diverges from the screening criteria's emphasis on multilingual software systems and programming language interoperability. Despite being a technical paper with empirical evid…",maybe,yes
Feedback Matching Framework for Semantic Interoperability of Product Data,2012,IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/TASE.2011.2171950,Exclude,EC2,"The research focuses on product data interoperability and semantic mapping, which fundamentally differs from programming language integration. Despite presenting a technical solution with empirical evidence, the study does not address multilingual software sys…",maybe,yes
Assessing semantic interoperability in environmental sciences: variety of approaches and semantic artefacts,2024,Scientific Data,https://doi.org/10.1038/s41597-024-03669-3,Exclude,EC1,"The research paper focuses on semantic artifacts and metadata standards in environmental sciences, fundamentally diverging from the systematic review's criteria for multilingual software systems and programming language interoperability. Despite presenting emp…",maybe,yes
A unified component-based data-driven framework to support interoperability in the healthcare systems,2024,Heliyon,https://doi.org/10.1016/j.heliyon.2024.e35036,Exclude,EC1,"The research paper focuses on healthcare system interoperability and does not address programming language interaction or multilingual software systems. Despite presenting a robust methodology and empirical evidence, the study fails to meet the core screening …",maybe,yes
eHealth,2010,Methods of Information in Medicine,https://doi.org/10.1055/s-0038-1625240,Exclude,EC1,"The abstract focuses on healthcare system interoperability and ontological challenges, but does not address programming language multilingualism or software system integration across different programming languages. While the paper presents technical insights …",maybe,yes
The GEOSS solution for enabling data interoperability and integrative research,2014,Environmental science and pollution research international,https://doi.org/10.1007/s11356-013-2264-y,Exclude,EC1,"The abstract discusses system interoperability in sustainability research, but fails to meet most screening criteria related to multilingual programming systems. Specifically, it lacks focus on programming language interaction, does not address software engine…",maybe,yes
Legal Interoperability as a Comprehensive Concept in Transnational Law,2014,-,https://doi.org/10.5235/17579961.6.1.51,Exclude,EC1,"The abstract discusses interoperability in general ICT terms but lacks specific focus on multilingual software systems, programming language interactions, or technical solutions. Most screening criteria related to software engineering, language integration, an…",maybe,yes
On the evaluation of thesaurus tools compatible with the Semantic Web,2014,Journal of information science,https://doi.org/10.1177/0165551514545603,Exclude,EC1,"The abstract focuses on thesaurus systems and information interoperability, fundamentally diverging from the systematic review's core interest in programming language interoperability. Despite being in English and presenting technical content, the paper lacks …",maybe,yes
System requirements-OSS components: matching and mismatch resolution practices – an empirical study,2018,Empirical Software Engineering,https://doi.org/10.1007/s10664-017-9594-1,Exclude,EC1,"The research paper focuses on Open Source Software component integration and requirements engineering, but lacks specific evidence of multilingual programming language interactions or systems. Despite presenting robust empirical research through interviews acr…",maybe,yes
Evaluate Transferability in Multilingual Analysis,2023,Computational Communication Research,https://doi.org/10.5117/ccr2023.2.2.ho,Exclude,EC1,"The research focuses on multilingual text analysis using mBERT, primarily addressing natural language processing challenges rather than software engineering or programming language interoperability. Despite presenting technical solutions and empirical evidence…",maybe,yes
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2017,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-319-65813-1,Exclude,EC4,I could not determine from the abstract whether the full text of the paper is accessible for review.,no,maybe
A new approach towards systems integration within the mechatronic engineering design process of manufacturing systems,2013,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2013.785026,Exclude,EC1,"The abstract describes a mechatronics integration approach focused on tool-level collaboration, but lacks specific evidence of multilingual programming language interoperability. While the research presents a technical solution for software tool integration in…",maybe,yes
Enhancing factory data integration through the development of an ontology: from the reference models reuse to the semantic conversion of the legacy models,2017,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2016.1268720,Exclude,EC1,"The abstract focuses on data integration and semantic interoperability in manufacturing contexts, but does not address programming language interactions or multilingual software systems. While the paper presents a technical approach with empirical evidence, it…",maybe,yes
A model-driven approach to machine learning and software modeling for the IoT,2021,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-021-00967-x,Exclude,EC1,"The research paper focuses on model-driven software development and machine learning integration in IoT systems, but does not address multilingual programming language interoperability. Despite being a technically rigorous software engineering study with empir…",maybe,yes
Subword-based Semantic Retrieval of Clinical and Bibliographic Documents,2010,Methods of Information in Medicine,https://doi.org/10.3414/ME9303,Exclude,EC1,"The abstract describes a semantic text indexing approach for multilingual document retrieval, focusing on natural language processing rather than programming language interoperability. Despite addressing multiple languages and presenting empirical evidence, th…",maybe,yes
Multilingual audio information management system based on semantic knowledge in complex environments,2020,Neural computing & applications (Print),https://doi.org/10.1007/s00521-019-04618-7,Exclude,EC1,"The abstract describes a multilingual audio information management system focused on natural language processing across Spanish, French, and Basque, but does not address programming language interoperability. While technically sophisticated and empirically tes…",maybe,yes
Semantic Normalization and Query Abstraction Based on SNOMED-CT and HL7: Supporting Multicentric Clinical Trials,2015,IEEE journal of biomedical and health informatics,https://doi.org/10.1109/JBHI.2014.2357025,Exclude,EC1,"The abstract describes a biomedical informatics study focused on clinical data integration, which fundamentally diverges from the systematic review's criteria of programming language interoperability. Despite presenting technical solutions and empirical eviden…",maybe,yes
The Representational Challenge of Integration and Interoperability in Transformed Health Ecosystems,2024,Journal of Personalized Medicine,https://doi.org/10.3390/jpm15010004,Exclude,EC1,"The research primarily addresses domain-specific interoperability in health informatics, focusing on ontological and ecosystem integration rather than programming language interactions. While the study presents technical solutions and frameworks for system int…",maybe,yes
Crosslingual and Multilingual Construction of Syntax-Based Vector Space Models,2014,Transactions of the Association for Computational Linguistics,https://doi.org/10.1162/tacl_a_00180,Exclude,EC1,"The research focuses on cross-lingual semantic modeling in natural language processing, primarily addressing linguistic challenges rather than software engineering or programming language interoperability. Despite handling multiple languages and presenting tec…",maybe,yes
Towards a model-driven approach for multiexperience AI-based user interfaces,2021,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-021-00904-y,Exclude,EC1,"The research focuses on user interface integration techniques rather than multilingual programming language systems, failing to meet key screening criteria related to programming language interoperability. Despite presenting technical solutions for interface c…",maybe,yes
A systematic mapping study of semantic technologies in multi-omics data integration,2025,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2025.104809,Exclude,EC1,"The abstract focuses on multi-omics data integration in bioinformatics, which fundamentally differs from multilingual software systems and programming language interoperability. Despite being a rigorous scientific study, the paper fails to meet the majority of…",maybe,yes
Empirical studies in software and systems traceability,2017,Empirical Software Engineering,https://doi.org/10.1007/s10664-017-9509-1,Exclude,EC1,"The paper focuses on software traceability and does not address multilingual software systems or language interoperability, failing key screening criteria related to language support and interlanguage collaboration. Despite being a rigorous software engineerin…",maybe,yes
Development of fast neurotransmitter synapses: General principle and recent progress,2017,Brain Research Bulletin,https://doi.org/10.1016/j.brainresbull.2016.11.009,Exclude,EC1,"The study addresses multilingual data searching in ecological research, focusing on natural language translation and search capabilities across different languages. While technically sophisticated, the research does not meet key screening criteria related to p…",maybe,yes
Selecting Relevant Documents for Multilingual Content Analysis:: An Evaluation of Keyword and Semantic Similarity Search Approaches,2023,Computational Communication Research,https://doi.org/10.5117/ccr2023.2.5.pali,Exclude,EC1,"The research paper focuses on multilingual document retrieval and machine translation in communication research, but does not address programming language interoperability or software system integration. Despite handling multiple languages and presenting empir…",maybe,yes
Integration scenarios of virtual worlds in learning management systems using the MULTIS approach,2017,Personal and Ubiquitous Computing,https://doi.org/10.1007/s00779-017-1063-8,Exclude,EC1,"The research focuses on integrating learning management systems with virtual worlds, but does not address multilingual programming language interoperability. Despite presenting a technical solution for system integration, the study lacks evidence of multiple p…",maybe,yes
"Trends in entertainment, home automation and e-health: Toward cross-domain integration",2012,IEEE Communications Magazine,https://doi.org/10.1109/MCOM.2012.6211501,Exclude,EC1,"The abstract discusses domain-level interoperability across entertainment, home automation, and e-Health environments, but lacks specific focus on programming language-level multilingual systems. While technically relevant, the paper does not meet the core scr…",maybe,yes
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2016,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-319-44564-9,Exclude,EC1,"The conference proceedings appear focused on natural language processing rather than programming language interoperability, with no clear evidence of addressing multilingual software system challenges. Critical screening criteria related to programming languag…",maybe,maybe
Integration of software tools for integrative modeling of biomolecular systems.,2022,Journal of Structural Biology,https://doi.org/10.1016/j.jsb.2022.107841,Exclude,EC1,"The research addresses software integration challenges but lacks specific focus on multilingual programming language interactions, falling short of the required screening criteria. While the paper demonstrates technical depth in software interoperability, it d…",yes,yes
Exploring Low-Carbon Futures: A Web Service Approach to Linking Diverse Climate-Energy-Economy Models,2019,Energies,https://doi.org/10.3390/EN12152880,Exclude,EC1,"The abstract describes a climate modeling integration platform that partially addresses multilingual system challenges, but its primary focus is on environmental modeling rather than software engineering. While the paper demonstrates technical integration of d…",maybe,yes
A method to select a successful interoperability solution through a simulation approach,2014,Journal of Intelligent Manufacturing,https://doi.org/10.1007/s10845-014-0889-4,Exclude,EC1,"The abstract addresses business process interoperability in enterprise systems, but lacks specific focus on programming language interactions or multilingual software systems. While presenting a structured approach to interoperability with empirical evidence, …",maybe,yes
Integrating Fairness in the Software Design Process: An Interview Study With HCI and ML Experts,2023,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3260639,Exclude,EC1,"The research paper focuses on fairness in machine learning and human-computer interaction, fundamentally diverging from the systematic review's criteria for multilingual software systems. Despite being a rigorous empirical study, the abstract fails to address …",maybe,yes
Using Systems Architecture Views to Assess Integration Readiness Levels,2020,IEEE transactions on engineering management,https://doi.org/10.1109/TEM.2020.3035492,Exclude,EC1,"The research focuses on systems integration and technology readiness levels, but lacks specific emphasis on multilingual software systems or programming language interoperability. Despite presenting empirical evidence and technical solutions, the study does no…",maybe,yes
INTERO: An Interoperability Model for Large Systems,2020,IEEE Software,https://doi.org/10.1109/MS.2017.265100723,Exclude,EC1,"The abstract presents a general interoperability model for software systems, but lacks specific evidence of multilingual programming language interaction. While meeting some technical and methodological criteria, the text fails to demonstrate clear focus on pr…",maybe,yes
INTER-Meth: A Methodological Approach for the Integration of Heterogeneous IoT Systems,2021,Internet of Things,https://doi.org/10.1007/978-3-030-82446-4_7,Exclude,EC1,"The research focuses on IoT platform integration methodology, presenting a technical approach to interoperability challenges, but does not specifically address multilingual programming language interactions. While the study demonstrates strong technical rigor …",maybe,yes
The Complexity Problem in Future Multisensor Navigation and Positioning Systems: A Modular Solution,2013,Journal of navigation,https://doi.org/10.1017/S0373463313000696,Exclude,EC1,"The abstract focuses on navigation and positioning system integration, which fundamentally differs from the screening criteria's requirements for multilingual software systems and programming language interoperability. Despite discussing technical integration …",maybe,yes
Composing multiple variability artifacts to assemble coherent workflows,2011,Software quality journal,https://doi.org/10.1007/s11219-011-9170-7,Exclude,EC1,"The research paper focuses on service-oriented architectures and workflow composition, but lacks explicit discussion of multilingual programming language integration or interoperability. While the study presents technical solutions and empirical validation in …",maybe,yes
Performing Multilingual Analysis With Linguistic Inquiry and Word Count 2015 (LIWC2015). An Equivalence Study of Four Languages,2021,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2021.570568,Exclude,EC1,"The study focuses on linguistic analysis across multiple languages using computational techniques, but does not address programming language interoperability or software system integration. While methodologically rigorous and multilingual in nature, the resear…",maybe,yes
Complexity Theory: A New Paradigm for Software Integration,2013,IT Professional,https://doi.org/10.1109/MITP.2012.87,Exclude,EC1,"The abstract discusses software integration testing using complexity theory, but lacks specific focus on multilingual programming language interoperability. Despite addressing software engineering concepts, the text fails to meet most screening criteria relate…",maybe,yes
A formal ontology for industrial maintenance,2012,Appl. Ontology,https://doi.org/10.3233/AO-2012-0112,Exclude,EC1,"The abstract describes a semantic interoperability solution for maintenance systems, but lacks specific focus on multilingual programming language integration. While the paper addresses integration challenges and presents a technical solution, it does not meet…",maybe,yes
Interoperability of telemonitoring data in digital health solutions: a scoping review,2025,Frontiers Digit. Health,https://doi.org/10.3389/fdgth.2025.1502260,Exclude,EC1,"The systematic review focuses on healthcare system interoperability rather than programming language integration, fundamentally misaligning with the screening criteria for multilingual software systems. Despite being a rigorous academic study, the paper fails …",maybe,yes
"Neural language models for the multilingual, transcultural, and multimodal Semantic Web",2020,Semantic Web,https://doi.org/10.3233/sw-190373,Exclude,EC1,"The abstract focuses on multilingual semantic web technologies and natural language processing, but does not address programming language interoperability or software engineering challenges. While the paper discusses multilingual systems, it fails to meet key …",maybe,yes
A Comprehensive Evaluation of Embedding Models and LLMs for IR and QA Across English and Italian,2025,Big Data and Cognitive Computing,https://doi.org/10.3390/bdcc9050141,Exclude,EC1,"The study focuses on multilingual language models and information retrieval techniques, primarily examining English and Italian language processing, but does not address programming language interoperability or software system integration. While the research p…",maybe,yes
Applying Bidirectional Transformations to the Design of Interoperable EMR Systems,2020,Journal of Healthcare Informatics Research,https://doi.org/10.1007/s41666-019-00065-0,Exclude,EC1,"The abstract discusses system interoperability in healthcare and engineering contexts, but lacks explicit focus on multilingual programming language interactions. While addressing integration challenges and empirical studies, the text does not clearly demonstr…",yes,yes
AI regulation: maintaining interoperability through value-sensitive standardisation,2025,Ethics and Information Technology,https://doi.org/10.1007/s10676-025-09832-7,Exclude,EC1,"The abstract focuses on AI regulatory frameworks and values, fundamentally misaligning with the screening criteria for multilingual software systems and programming language interaction. Despite being in English and presenting a technical analysis, the paper f…",maybe,yes
Using tool integration for improving traceability management testing processes: An automotive industrial experience,2019,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.2171,Exclude,EC1,"The abstract describes a software engineering study on traceability management, but lacks any focus on multilingual programming languages or their interoperability. Despite being a rigorous technical paper with empirical evidence, it fundamentally does not add…",maybe,yes
TERMINTEGRAL: Una plataforma para la construcción de bases terminológicas y ontologías,2021,Linguistica Anverpiensia New Series ? Themes in Translation Studies,https://doi.org/10.52034/lanstts.v3i.115,Exclude,EC1,"The abstract describes a linguistic terminology processing platform focused on natural language processing, which fundamentally diverges from the screening criteria's emphasis on programming language interoperability. Critical requirements related to multiling…",maybe,yes
Collaborative multilingual knowledge management based on controlled natural language,2015,Semantic Web,https://doi.org/10.3233/SW-140152,Exclude,EC1,"The research addresses multilingual systems, but focuses on natural language translation rather than programming language interoperability, which diverges from the core screening criteria. While the study presents a sophisticated multilingual wiki system with …",maybe,yes
Rare Diseases in Hospital Information Systems—An Interoperable Methodology for Distributed Data Quality Assessments,2022,Methods of Information in Medicine,https://doi.org/10.1055/a-2006-1018,Exclude,EC1,"The research paper focuses on healthcare data quality and interoperability, fundamentally diverging from the screening criteria's emphasis on multilingual programming language systems. Despite presenting a rigorous technical methodology, the study fails to add…",maybe,yes
INTER-Layer: A Layered Approach for IoT Platform Interoperability,2021,Internet of Things,https://doi.org/10.1007/978-3-030-82446-4_4,Exclude,EC1,"The abstract describes an IoT platform interoperability study that does not meet the screening criteria focused on multilingual programming language interactions. Despite being a technical paper about integration, it lacks specific discussion of programming la…",maybe,yes
Cross border semantic interoperability for learning health systems: The EHR4CR semantic resources and services,2016,Learning Health Systems,https://doi.org/10.1002/lrh2.10014,Exclude,EC1,"The abstract addresses semantic interoperability in healthcare data systems across multiple countries, but does not focus on programming language interactions or multilingual software development. While the research presents a technical framework and empirical…",maybe,yes
Sociotechnical Factors Affecting Interoperability of Digital Humanities,2024,Proceedings of the Association for Information Science and Technology,https://doi.org/10.1002/pra2.1022,Exclude,EC1,"The abstract focuses on Digital Humanities interoperability challenges, primarily addressing sociotechnical factors in digital collections and platforms, rather than programming language integration. Despite discussing interoperability, the paper does not meet…",maybe,yes
An industrial assessment for a multimodel framework,2014,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.1669,Exclude,EC1,"The abstract describes a software process improvement study focused on integrating quality reference models, which fundamentally differs from the systematic review's focus on multilingual programming language interoperability. Despite presenting empirical evid…",maybe,yes
A Systematic Identification of Formal and Semi-Formal Languages and Techniques for Software-Intensive Systems-of-Systems Requirements Modeling,2019,IEEE Systems Journal,https://doi.org/10.1109/JSYST.2018.2874061,Exclude,EC1,"The systematic review criteria focus on multilingual software systems and programming language interoperability, which this paper does not address. While the study is a technical software engineering research about systems-of-systems, it fails to meet key scre…",maybe,yes
Tabdoc Approach: An Information Fusion Method to Implement Semantic Interoperability Between IoT Devices and Users,2019,IEEE Internet of Things Journal,https://doi.org/10.1109/JIOT.2018.2871274,Exclude,EC1,"The research addresses IoT device-user interaction and semantic interoperability, but does not focus on multilingual programming language integration. While the study presents a technical framework with empirical evidence, it fails to meet key screening criter…",maybe,yes
Deep web integration with VisQI,2010,Proceedings of the VLDB Endowment,https://doi.org/10.14778/1920841.1921053,Exclude,EC1,"The research paper focuses on web interface integration through VisQI, presenting a technical solution for transforming and matching web query interfaces. Despite being a technical study with empirical evaluation, the work does not address multilingual program…",maybe,yes
An integration engineering framework for machine learning in healthcare,2022,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2022.932411,Exclude,EC1,"The systematic review criteria focus on multilingual programming language integration, which this paper does not address. Despite being a technically sound software engineering study about Machine Learning model integration in healthcare, the abstract fails to…",maybe,yes
Building multi-domain conversational systems from single domain resources,2018,Neurocomputing,https://doi.org/10.1016/j.neucom.2017.01.112,Exclude,EC1,"The research focuses on natural language processing and conversational systems, fundamentally diverging from the systematic review's core interest in programming language interoperability. Despite presenting a technical solution with empirical evidence, the st…",maybe,yes
Quantitative analysis of manual annotation of clinical text samples,2019,Int. J. Medical Informatics,https://doi.org/10.1016/j.ijmedinf.2018.12.011,Exclude,EC1,"The research focuses on medical terminology semantic interoperability across multiple European languages, presenting a quantitative analysis of SNOMED CT's potential for cross-language medical information systems. While the study demonstrates rigorous empirica…",maybe,yes
Foreign Language Teaching and Learning in a Multimedia Environment,2013,CALICO journal,https://doi.org/10.1558/CJ.V10I3.65-76,Exclude,EC1,"The abstract describes an educational software integration project focused on language learning, which fundamentally differs from multilingual programming language interoperability research. Despite discussing software integration, the paper fails to meet crit…",maybe,yes
Can multilinguality improve Biomedical Word Sense Disambiguation?,2016,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2016.10.020,Exclude,EC1,"The research focuses on natural language processing in biomedical contexts, specifically addressing word sense disambiguation across multiple human languages, which fundamentally differs from the screening criteria's focus on programming language interoperabil…",maybe,yes
Introduction to the special issue,2017,Language Resources and Evaluation,https://doi.org/10.1007/s10579-017-9405-8,Exclude,EC1,"The abstract focuses on natural language resources and under-resourced languages, primarily addressing linguistic diversity and technological challenges in language technology. Despite discussing collaboration and resource development, the text does not meet t…",maybe,yes
Parallel corpora make sense: Bypassing the knowledge acquisition bottleneck for Word Sense Disambiguation,2014,-,https://doi.org/10.1075/IJCL.19.3.02LEF,Exclude,EC1,"The research focuses on Word Sense Disambiguation in natural language processing, addressing multiple languages but not programming language interoperability. Despite presenting a technical solution with empirical evidence, the study does not meet the core scr…",maybe,yes
Universal Access in Human-Computer Interaction. Multimodality and Assistive Environments,2019,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-030-23563-5,Exclude,EC1,The abstract focuses on universal access in human-computer interaction but lacks specific details about multilingual programming language systems or their interoperability. While the publication meets some basic criteria like being in English and from a recogn…,maybe,yes
Rapidly developing NLP applications for content curation,2024,Language Resources and Evaluation,https://doi.org/10.1007/s10579-024-09774-4,Exclude,EC4,The full-text accessibility cannot be determined from the abstract alone.,no,yes
An Empirical Study on Crosslingual Transfer in Probabilistic Topic Models,2018,International Conference on Computational Logic,https://doi.org/10.1162/coli_a_00369,Exclude,EC4,The full-text accessibility of the paper cannot be determined from the abstract alone.,no,maybe
A Model-Based Systems Architecting and Integration Approach Using Interlevel and Intralevel Dependency Matrix,2022,IEEE Systems Journal,https://doi.org/10.1109/JSYST.2021.3077351,Exclude,EC1,"The abstract describes a systems engineering methodology for architectural decomposition, but lacks any focus on multilingual programming or language interoperability. Despite presenting technical solutions for system integration, the paper does not address ke…",maybe,yes
Multilingual Information Access on the Web,2015,Computer,https://doi.org/10.1109/MC.2015.203,Exclude,EC4,The full-text accessibility of the paper cannot be determined from the abstract alone.,no,yes
