Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus
"Extending the ontology, metacommunication and communicability of semiotic engineering to the emerging paradigm of human-computer integration (HInt)",2022,Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais,https://doi.org/10.1145/3554364.3559109,Exclude,EC2,"The paper appears to be a theoretical analysis and proposal rather than primary research investigating paradigmatic compatibility or a systematic review. It focuses on extending an ontology for HCI, not specifically on paradigm integration or software measurem…",maybe,yes,maybe,no
Timed Model Checking Based Approach for Web Services Analysis,2009,IEEE International Conference on Web Services,https://doi.org/10.1109/ICWS.2009.42,Exclude,EC1,"The study focuses on web service choreography compatibility using model checking, presenting a domain-specific approach to service integration that partially meets screening criteria related to validation methods and quantitative analysis. While demonstrating …",maybe,yes,maybe,maybe
The MT model transformation language,2006,ACM Symposium on Applied Computing,https://doi.org/10.1145/1141277.1141577,Exclude,EC1,"While the paper mentions implementation in Converge, it does not explicitly address interactions between different programming paradigms. The focus is on model transformation languages rather than paradigm compatibility.",maybe,yes,no,no
How to assess a software process modeling formalism from a project member's point of view,1993,[1993] Proceedings of the Second International Conference on the Software Process-Continuous Software Process Improvement,https://doi.org/10.1109/SPCON.1993.236814,Exclude,EC2,"The paper proposes an experimental framework for assessing process formalisms, which is primary research. However, it does not specifically focus on paradigmatic compatibility or software measurement as defined in the criteria.",maybe,yes,no,no
New Planning Methodologies in Strategic Management ; An Inter-Paradigm System Dynamics Approach,2008,-,-,Exclude,EC1,"The study explores paradigmatic integration between two planning methodologies, demonstrating strong alignment with multiple paradigm and compatibility criteria. While the research shows promise in addressing inter-paradigm interactions, there are uncertaintie…",maybe,yes,yes,yes
"Testing the cognitive relevance of a geometric model on a word association task: A comparison of humans, ACOM, and LSA",2008,Behavior Research Methods,https://doi.org/10.3758/BRM.40.4.926,Exclude,EC2,"The paper appears to be primary research, but it focuses on validating a cognitive model rather than investigating paradigmatic compatibility in programming. It does compare different paradigms (geometric, hierarchical, vector), but in the context of semantic …",maybe,yes,no,no
A unified approach for verification and validation of systems and software engineering models,2006,European Conference on the Engineering of Computer-Based Systems,https://doi.org/10.1109/ECBS.2006.17,Exclude,EC2,"The paper presents primary research on verification and validation of software models, but does not specifically focus on paradigmatic compatibility. It is more about verification methods across different modeling approaches.",maybe,yes,no,no
Reproducibility of LLM-based Recommender Systems: the Case Study of P5 Paradigm,2024,ACM Conference on Recommender Systems,https://doi.org/10.1145/3640457.3688072,Exclude,EC2,"This is primary research, but it focuses on recommender systems and LLMs rather than paradigmatic compatibility. While it discusses a framework (LaikaLLM), it's not specifically about paradigm integration.",maybe,yes,no,no
Formalisms in Software Engineering: Myths Versus Empirical Facts,2008,Central and East European Conference on Software Engineering Techniques,https://doi.org/10.1007/978-3-540-85279-7_2,Exclude,EC2,"The paper appears to be a perspective/review paper about the state of software engineering research and practice, rather than primary research on paradigmatic compatibility or a systematic review of paradigm integration. It does not meet this criterion.",maybe,yes,no,no
A semiotic framework for manufacturing systems integration –Part I: Generative integration model,2010,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2010.510292,Exclude,EC2,"The paper presents exploratory research on semiotics for manufacturing systems integration, which is not specifically focused on paradigmatic compatibility in programming.",maybe,yes,no,no
Electronic Communications of the EASST Volume 072 ( 2015 ) Proceedings of the 15 th International Workshop on Automated Verification of Critical Systems ( AVoCS 2015 ) Automated Verification of Asynchronous Communicating Systems with TLA +,2015,-,-,Exclude,EC1,"A formal research study exploring compatibility between communication paradigms using TLA+ specifications, demonstrating systematic validation methods and addressing multiple communication models. The work provides a quantitative framework for analyzing paradi…",maybe,yes,yes,maybe
Analysis of systematic engineering design paradigms in industrial practice: Scaled experiments,2011,-,https://doi.org/10.1080/09544820903437742,Exclude,EC2,"The paper appears to be primary research investigating design paradigms, but it focuses on engineering design rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,maybe,no
Integrando metodologias na análise de dados sob o paradigma interacionista simbólico: um caso prático,2014,-,https://doi.org/10.1590/1679-39519359,Exclude,EC2,"The paper appears to be primary research, but it focuses on combining analysis methods in social science research rather than investigating paradigmatic compatibility in the context of programming.",maybe,yes,no,no
When a Formal Model Rhymes with a Graphical Notation,2014,SEFM Workshops,https://doi.org/10.1007/978-3-319-15201-1_4,Exclude,EC1,"The abstract describes a study on formal methods and graphical representations, but does not directly address programming paradigm compatibility. While the paper includes empirical validation and discusses multiple approaches, it lacks specific focus on intera…",maybe,yes,maybe,maybe
Model-based interfacing of large-scale metrology instruments,2019,Optical Metrology,https://doi.org/10.1117/12.2527461,Exclude,EC2,"The paper appears to be primary research, but it focuses on metrology systems and protocol integration rather than programming paradigm compatibility. It does not align with the core focus of paradigmatic compatibility.",maybe,yes,no,no
Formalization of Validation Extension Metamodel for Enterprise Architecture Frameworks,2014,International Conference on Enterprise Information Systems,https://doi.org/10.5220/0004950304270434,Exclude,EC2,"The paper focuses on Enterprise Architecture formalization and validation rather than paradigmatic compatibility or software measurement, so it does not meet the study type criterion.",maybe,yes,no,no
An integration framework for multi-paradigm software process modeling,1997,IEEE International Conference on Intelligent Processing Systems,https://doi.org/10.1109/ICIPS.1997.669381,Exclude,EC6,The abstract does not mention any quantitative measurements or systematic observations.,maybe,yes,maybe,maybe
Metacognition and system usability: Incorporating metacognitive research paradigm into usability testing,2016,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2015.07.041,Exclude,EC2,"The study is primary research, but it focuses on usability testing methodology rather than investigating paradigmatic compatibility or software measurement.",maybe,yes,no,no
A model-driven framework for multi-paradigm modeling and holistic simulation of healthcare systems,2018,International Conference on Advances in System Simulation,https://doi.org/10.1177/0037549717744888,Exclude,EC1,"The abstract describes a multi-paradigm modeling approach for healthcare systems, which demonstrates methodological rigor in paradigm integration but falls outside the specific domain of programming paradigms. While the study exhibits strong systematic researc…",maybe,yes,maybe,maybe
FROM DIFFICULT PROBLEMS TO PROGRAMMING PARADIGMS,2021,-,https://doi.org/10.38028/ESI.2021.21.1.008,Exclude,EC1,"The paper explores programming paradigms through a historical and systematic lens, addressing multiple paradigms but lacking clear empirical validation or quantitative metrics for compatibility. While touching on paradigmatic relationships, the study appears m…",maybe,maybe,yes,maybe
A metric for measuring the degree of entity-centric service cohesion,2010,IEEE International Conference on Service-Oriented Computing and Applications,https://doi.org/10.1109/SOCA.2010.5707187,Exclude,EC1,"The study proposes a novel metric for service cohesion in business process modeling, with empirical validation, but does not directly address paradigmatic compatibility between programming paradigms. While the research includes quantitative components and empi…",maybe,yes,maybe,maybe
Formalizing Adaptation On-the-Fly,2009,FOCLASA,https://doi.org/10.1016/j.entcs.2009.10.023,Exclude,EC1,The abstract doesn't explicitly mention multiple programming paradigms or their interaction. The focus is on component coordination and adaptation.,maybe,yes,no,no
Triune Continuum Paradigm: a paradigm for General System Modeling and its applications for UML and RM-ODP,2002,-,-,Exclude,EC1,"A comprehensive thesis exploring paradigmatic compatibility through a novel metamodeling structure that integrates multiple programming frameworks, demonstrating strong theoretical foundations and formal implementation across UML and RM-ODP. The study provides…",maybe,yes,yes,yes
Electronic Communications of the EASST Volume X ( 2010 ) Proceedings of the 4 th International Workshop on Multi-Paradigm Modeling ( MPM 2010 ) A generic in-place transformation-based approach to structured model co-evolution,2010,-,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on model evolution and migration in MDE (Model-Driven Engineering) rather than paradigmatic compatibility specifically. It doesn't clearly align with the core focus of paradigm integration.",maybe,yes,no,no
A Model-Based Framework for Adapting Interaction Mismatches of Time-Aware Web Services,2010,International Conference on Service Science,https://doi.org/10.1109/ICSS.2010.23,Exclude,EC1,"The study presents a formal framework for web service composition with strong methodological elements like model checking and empirical validation, but its primary focus on service integration rather than programming paradigms creates uncertainty about full al…",maybe,yes,maybe,maybe
Component-based modeling of dynamic systems using heterogeneous composition,2012,MPM '12,https://doi.org/10.1145/2508443.2508456,Exclude,EC1,"The study demonstrates strong alignment with screening criteria related to paradigmatic compatibility, multiple programming paradigms, and primary research focus. While the abstract clearly addresses integration of different modeling approaches, significant un…",maybe,yes,yes,yes
Towards a Hybrid Temporal Paradigm for Musical Composition and Performance: The Case of Musical Interpretation,2013,Computer Music Journal,https://doi.org/10.1162/COMJ_a_00179,Exclude,EC2,"The paper appears to be a theoretical study proposing a formalism for music composition, rather than a study focused on programming paradigms or software measurement.",maybe,yes,maybe,no
An on-chip interconnect and protocol stack for multiple communication paradigms and programming models,2009,International Conference on Hardware/Software Codesign and System Synthesis,https://doi.org/10.1145/1629435.1629450,Exclude,EC1,"The study addresses multiple communication paradigms and programming models in System on Chip design, providing quantitative analysis and empirical validation of hardware-software interface integration. While the research demonstrates strong technical merit in…",maybe,yes,yes,maybe
A model for combined targeting and tracking tasks in computer applications,2013,Experimental Brain Research,https://doi.org/10.1007/s00221-013-3700-4,Exclude,EC1,"The study does address interactions between two paradigms, but they are not programming paradigms.",maybe,yes,maybe,no
Dynamic consistency in process algebra: From Paradigm to ACP,2009,Science of Computer Programming,https://doi.org/10.1016/j.scico.2010.04.011,Exclude,EC2,"The paper appears to be primary research focusing on a modeling language (Paradigm) and its relationship to process algebra, but it is not clearly focused on paradigmatic compatibility in the sense of programming paradigms.",maybe,yes,no,no
A GUI modeling DSL for pattern-based GUI testing PARADIGM,2014,International Conference on Evaluation of Novel Approaches to Software Engineering,https://doi.org/10.5220/0004880601260135,Exclude,EC2,"The paper presents primary research on a testing methodology (PBGT) and a DSL (PARADIGM), but it does not specifically focus on paradigmatic compatibility or integration. Instead, it focuses on GUI testing patterns.",maybe,yes,no,no
A multi-paradigm modeling and simulation methodology: formalisms and languages,1996,-,-,Exclude,EC1,"The document explores formalism integration across multiple modeling paradigms, demonstrating strong theoretical insights into compatibility and transformation between different modeling languages. While addressing multiple formalisms and their interactions, t…",maybe,yes,yes,maybe
Evaluation of Requirements Models,2016,IEEE International Requirements Engineering Conference,https://doi.org/10.1109/RE.2016.28,Exclude,EC2,"The paper proposes a research study investigating metrics and evaluation frameworks, but does not specifically focus on paradigmatic compatibility. It focuses on requirements engineering approaches and their quality metrics.",maybe,yes,maybe,no
Challenges of Integrating LLMs Like ChatGPT with Enterprise Software and Solving it with Object Messaging and Intelligent Objects as a New Software Design Paradigm,2023,"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",https://doi.org/10.1109/CSCE60160.2023.00054,Exclude,EC6,The abstract suggests a theoretical/conceptual approach without mentioning any quantitative measurements or systematic observations.,maybe,yes,yes,maybe
Benchmarking pointing techniques with distractors: adding a density factor to Fitts' pointing paradigm,2011,International Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1978942.1979180,Exclude,EC2,"The study is primary research, but it focuses on extending Fitts' pointing paradigm for human-computer interaction rather than paradigmatic compatibility in programming, so it does not meet this criterion.",maybe,yes,no,no
Metrics and similarities in modeling dependencies between continuous and nominal data,2013,-,-,Exclude,EC1,"The study addresses data type compatibility within an analytical paradigm, presenting empirical validation and quantitative methods for handling continuous and nominal data. While demonstrating strong methodological rigor, the research focuses more on data typ…",maybe,yes,maybe,maybe
Formalization of the RM-ODP foundations based on the Triune Continuum Paradigm,2007,Comput. Stand. Interfaces,https://doi.org/10.1016/j.csi.2005.10.001,Exclude,EC1,"While the paper mentions that the Triune Continuum Paradigm can be adapted by different modeling frameworks, it does not appear to focus on interactions between multiple paradigms.",maybe,yes,maybe,no
Towards an Approach for Orchestrating Design Space Exploration Problems to Fix Multi-Paradigm Inconsistencies,2014,MPM@MoDELS,-,Exclude,EC1,"The abstract describes a conceptual approach to solver orchestration in multi-paradigm modeling, partially meeting criteria related to multiple paradigms and quantitative components. However, the study lacks clear empirical validation, systematic evaluation, a…",maybe,yes,yes,maybe
"Correctness, Completeness, Consistency: Challenges of Migrating Arrowhead System-of-Systems Models",2022,IEEE/IFIP Network Operations and Management Symposium,https://doi.org/10.1109/NOMS54207.2022.9789830,Exclude,EC1,"The abstract describes a model-based systems engineering study that partially addresses integration challenges, but lacks clear focus on programming paradigm compatibility. While the paper discusses multiple modeling frameworks and an empirical migration scena…",maybe,yes,maybe,maybe
A Category-Theoretical Approach to the Formalisation of Version Control in MDE,2009,Fundamental Approaches to Software Engineering,https://doi.org/10.1007/978-3-642-00593-0_5,Exclude,EC1,"The paper does not explicitly address interactions between different programming paradigms. While it discusses model evolution, it appears to focus on a single paradigm (MDE).",maybe,yes,no,no
Integrated formal methods with richer methodological profiles for the development of multi-perspective systems,1996,-,-,Exclude,EC1,"The study presents a comprehensive investigation of paradigmatic compatibility through formal method integration, addressing multiple programming paradigms with rigorous mathematical approaches. While demonstrating strong theoretical foundations in integrating…",maybe,yes,yes,yes
The model-assisted global query system,1992,-,-,Exclude,EC1,"The research primarily addresses database system integration rather than programming paradigm compatibility, with limited direct focus on paradigmatic interactions. While the study includes empirical validation and systematic methods, its core emphasis on data…",maybe,yes,maybe,maybe
A Modeling Paradigm for Integrated Modular Avionics Design,2006,EUROMICRO Conference on Software Engineering and Advanced Applications,https://doi.org/10.1109/EUROMICRO.2006.11,Exclude,EC1,"The abstract describes a modeling framework for integrated modular avionics design, which partially addresses paradigmatic compatibility through integration of different modeling approaches. While the study involves formal methods and validation techniques, it…",maybe,yes,yes,maybe
Towards Compositional Domain Specific Languages,2013,MPM@MoDELS,-,Exclude,EC1,"The abstract demonstrates strong theoretical foundations in domain-specific language compositionality, explicitly addressing multiple programming paradigms and their integration. While the paper shows robust conceptual exploration of paradigmatic compatibility…",maybe,yes,yes,yes
An Integrative Bargaining Paradigm for Investigating Multidisciplinary Design Tradeoffs,1994,-,https://doi.org/10.1177/154193129403801608,Exclude,EC2,"The paper describes an experimental paradigm for studying design decision-making, but does not appear to focus on paradigmatic compatibility or software measurement. It is about design team collaboration and decision-making.",maybe,yes,no,no
Using Software Requirement Specification as Complexity Metric for Multi-Paradigm Programming Languages,2013,-,-,Exclude,EC2,"The study is primary research, but it focuses on software complexity metrics rather than paradigmatic compatibility or software measurement in the context of different programming paradigms.",maybe,yes,no,no
5th International Workshop on Multi-Paradigm Modeling for Cyber-Physical Systems (MPM4CPS),2023,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,https://doi.org/10.1109/models-c59198.2023.00084,Exclude,EC2,The abstract appears to be describing a conceptual overview of Cyber-Physical Systems rather than primary research on paradigmatic compatibility or a systematic review. It doesn't clearly indicate the type of study.,maybe,yes,no,no
A Meta‐Model for integrating Human Factors into System Engineering,2022,INCOSE International Symposium,https://doi.org/10.1002/iis2.12876,Exclude,EC6,"The abstract does not mention any quantitative measurements or systematic observations, and the paper appears to be primarily focused on formal modeling.",maybe,yes,maybe,maybe
An ontology-based approach for integrating tools supporting the software measurement process,2017,Science of Computer Programming,https://doi.org/10.1016/j.scico.2016.10.004,Exclude,EC1,"The study presents a robust methodology for tool integration using ontologies, with strong empirical validation through case studies and user surveys. However, the research primarily addresses semantic tool integration rather than programming paradigm compatib…",maybe,yes,maybe,maybe
Analyzing Mediated Service Protocol Interactions Considering User's Expectation,2010,-,-,Exclude,EC1,"While the paper addresses different service protocols, these are not explicitly different programming paradigms. The focus is on service-oriented computing protocols rather than programming paradigms like object-oriented, functional, or procedural programming.",maybe,yes,no,maybe
Semantic integration of IEC 60870 into CIM,2011,IEEE International Conference on Smart Grid Communications,https://doi.org/10.1109/SmartGridComm.2011.6102360,Exclude,EC2,"The paper appears to be primary research, but it focuses on protocol integration rather than programming paradigm compatibility. It does not investigate paradigmatic compatibility in the sense intended by the criteria.",maybe,yes,no,no
Semantic matching in machine reading comprehension: An empirical study,2022,Information Processing & Management,https://doi.org/10.1016/j.ipm.2022.103145,Exclude,EC2,"The paper is primary research, but it focuses on machine reading comprehension rather than paradigmatic compatibility. While it does compare different approaches, these are not programming paradigms.",maybe,yes,no,no
Migration among simulation paradigms and tools,2014,-,-,Exclude,EC1,"The paper does address different simulation methods and their compatibility, but these are not specifically programming paradigms as intended in the criteria.",maybe,yes,maybe,no
A schema for computer-human interface design,1994,-,-,Exclude,EC2,"The paper presents primary research, but its focus is on human-computer interface design rather than paradigmatic compatibility. While it does integrate the Object-Oriented paradigm with the GOMS model, this integration is for interface design purposes, not pa…",maybe,yes,maybe,no
Usability testing with total-effort metrics,2009,International Symposium on Empirical Software Engineering and Measurement,https://doi.org/10.1109/ESEM.2009.5316022,Exclude,EC2,"The paper is primary research, but it focuses on usability testing and metrics rather than paradigmatic compatibility or software measurement, which are the required study types.",maybe,yes,no,no
Assessing the Alignment of FOL Closeness Metrics with Human Judgement,2025,arXiv.org,https://doi.org/10.48550/arXiv.2501.08613,Exclude,EC2,"The paper is primary research, but it focuses on evaluating metrics for First-Order Logic translation rather than paradigmatic compatibility specifically. While it involves programming paradigms (LLMs and FOL), the focus is not on paradigm integration.",maybe,yes,maybe,no
Supply Chain Integration through Performance Measurement,2000,-,-,Exclude,EC2,"The paper is primary research, but it focuses on measurement systems in supply chains rather than paradigmatic compatibility in programming, so it does not meet this criterion.",maybe,yes,no,no
Applying an MDA-based approach for enhancing the validation of business process models,2021,ANT/EDI40,https://doi.org/10.1016/j.procs.2021.03.094,Exclude,EC1,"While the paper does address multiple approaches (BPMN, MDA, ontologies), these are modeling paradigms rather than programming paradigms.",maybe,yes,no,no
"(Meta-)Models, Tools and Infrastructures for Business Application Integration",2008,International United Information Systems Conference,https://doi.org/10.1007/978-3-540-78942-0_55,Exclude,EC2,"The paper appears to be primary research focused on integration, but it is specifically about business process integration rather than paradigmatic compatibility. It does not directly address paradigm integration in the sense required by the criteria.",maybe,yes,no,no
Automatizing the Evaluation of Model Matching Systems,2010,-,-,Exclude,EC1,"The study explores paradigmatic compatibility between Model-Driven Engineering and Semantic Web, proposing a mechanism for model matching algorithm evaluation. While demonstrating strong potential in addressing multiple programming paradigms, the abstract leav…",maybe,yes,yes,yes
Multilingual and multiparadigm integration of a tuple channel-based coordination model,1998,ACM Symposium on Applied Computing,https://doi.org/10.1145/330560.330668,Exclude,EC1,"The study demonstrates strong alignment with paradigmatic compatibility research by integrating a coordination model across multiple programming paradigms using C, Haskell, and Smalltalk. While the abstract clearly shows a focus on paradigm integration, signif…",maybe,yes,yes,yes
Compatibility and Continuity in Augmented Reality Systems,2001,-,-,Exclude,EC2,"The paper appears to be primary research investigating compatibility, but it focuses on AR systems rather than programming paradigms, which is not the intended focus of the systematic review.",maybe,yes,no,no
Modeling collaboration protocols for collaborative modeling tools: Experiences and applications,2013,Journal of Visual Languages and Computing,https://doi.org/10.1016/j.jvlc.2012.10.006,Exclude,EC2,"The paper is primary research proposing a visual language for collaboration protocols, but it does not specifically focus on paradigmatic compatibility or software measurement as defined in the criteria.",maybe,yes,no,no
Model Interoperability for Performance Engineering: Survey of Milestones and Evolution,2010,About Performance,https://doi.org/10.1007/978-3-642-25575-5_2,Exclude,EC1,"The abstract discusses model interoperability in performance engineering tools, but diverges from the specific focus on programming paradigm compatibility. While addressing tool integration and model transformations, the paper lacks clear evidence of empirical…",maybe,yes,maybe,maybe
"Integrating the Physical and Link Layers in Modeling the Wireless Ad Hoc Networking MAC Protocol , Synchronous Collision Resolution",-,-,-,Exclude,EC1,"The paper does address multiple paradigms (wired vs. wireless), but again, these are networking paradigms rather than programming paradigms.",maybe,yes,maybe,no
Achieving QVTO & ATL Interoperability: An Experience Report on the Realization of a QVTO to ATL Computer,2009,-,-,Exclude,EC1,"The study explores paradigmatic compatibility between QVT and ATL model transformation languages, focusing on interoperability between declarative and imperative programming paradigms. By developing a compiler and demonstrating practical implementation, the re…",maybe,yes,yes,yes
A unifying framework for homogeneous model composition,2019,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-018-00707-8,Exclude,EC6,"The paper appears to be primarily theoretical, focusing on conceptual frameworks and structural composition. No clear quantitative components are mentioned.",maybe,yes,yes,yes
A mental model perspective for tool development and paradigm shift in spreadsheets,2016,Int. J. Hum. Comput. Stud.,https://doi.org/10.1016/j.ijhcs.2015.10.005,Exclude,EC1,"The study presents a rigorous empirical investigation of mental models in spreadsheet programming, demonstrating strong validation methods and quantitative components across three systematic studies. While focused specifically on spreadsheet paradigms rather t…",maybe,yes,maybe,maybe
"Metaphors, Stories, Models: A Unified Account of Decisions",2002,-,https://doi.org/10.5840/POM20022121,Exclude,EC2,"The paper appears to be a theoretical framework paper about decision-making paradigms in management, rather than primary research investigating paradigmatic compatibility or a systematic review/meta-analysis of paradigm integration or software measurement.",maybe,yes,yes,no
A verified integration of parallel programming paradigms in CC++,1994,Proceedings of 8th International Parallel Processing Symposium,https://doi.org/10.1109/IPPS.1994.288320,Exclude,EC1,The study demonstrates strong alignment with screening criteria by exploring paradigmatic compatibility between object-oriented and imperative programming models through formal verification and implementation. It effectively addresses multiple programming para…,maybe,yes,yes,yes
An exercise in deriving a protocol conversion,1987,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",https://doi.org/10.1145/55482.55498,Exclude,EC1,"The paper discusses different protocols rather than programming paradigms specifically. While protocols can be considered as part of different paradigms, this isn't explicitly addressed in the abstract.",maybe,yes,no,no
Modeling mean estimation tasks in within-trial and across-trial contexts,2022,"Attention, Perception, & Psychophysics",https://doi.org/10.3758/s13414-021-02410-1,Exclude,EC2,"This is a primary research study, but it focuses on computational models for mean estimation tasks in psychology, not on paradigmatic compatibility in programming.",maybe,yes,no,no
Towards a Formal Specification of Multi-paradigm Modelling,2019,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),https://doi.org/10.1109/MODELS-C.2019.00067,Exclude,EC1,"The paper does address multiple paradigms (specifically modeling paradigms) and mentions ""multi-paradigm modelling,"" meeting this criterion.",maybe,yes,yes,no
A mixed paradigm reasoning approach to problem-solving in incomplete causal-theory domains,1996,-,-,Exclude,EC2,"While the paper is primary research, it focuses on integrating reasoning paradigms (case-based and model-based reasoning) rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Magic Potion: Incorporating New Development Paradigms through Metaprogramming,2010,IEEE Software,https://doi.org/10.1109/MS.2010.90,Exclude,EC6,No quantitative components or measurements are mentioned in the abstract. The discussion appears to be qualitative.,maybe,yes,yes,maybe
Metamodeling functional and interactive parts of systems for composition considerations,2011,J. Comput. Methods Sci. Eng.,https://doi.org/10.3233/JCM-2011-0381,Exclude,EC6,The abstract doesn't indicate any quantitative measurements or systematic observations. It appears to be primarily theoretical.,maybe,yes,maybe,maybe
Meta-level Extension of the Multigraph Architecture,1998,-,-,Exclude,EC1,"The abstract describes a theoretical framework for model integrated program synthesis environments, but lacks clear evidence of empirical validation, quantitative analysis, or direct focus on paradigmatic compatibility between programming paradigms. While the …",maybe,yes,maybe,maybe
Meta-Modeling And Structural Paradigm For Strategic Alignment Of Information System,2009,Mediterranean Conference on Information Systems,-,Exclude,EC2,"The paper appears to be primary research proposing a meta-model extension and structural measures, but it does not specifically focus on paradigmatic compatibility or software measurement as specified in the criteria. Instead, it is more focused on information…",maybe,yes,no,no
Multi-protocol architectures as a paradigm for achieving inter-operability,1993,"IEEE INFOCOM '93 The Conference on Computer Communications, Proceedings",https://doi.org/10.1109/INFCOM.1993.253240,Exclude,EC1,"While the paper deals with multiple protocols (OSI and Internet suites), these aren't programming paradigms in the traditional sense.",maybe,yes,no,no
Evidences of the mismatch between industry and academy on modelling language quality evaluation,2016,arXiv.org,-,Exclude,EC1,"While the paper mentions ""diversity of conceptions,"" it doesn't explicitly indicate whether it addresses multiple programming paradigms or their interactions.",maybe,yes,no,no
An Expeditious Approach to Modeling IDE Interaction Design,2015,GEMOC+MPM@MoDELS,-,Exclude,EC2,"This is a position paper proposing a solution, not primary research or a systematic review. It does not investigate paradigmatic compatibility empirically, though it mentions multi-paradigm modeling.",maybe,yes,no,no
Comparison of Gene Regulatory Networks via Steady-State Trajectories,2007,EURASIP J. Bioinform. Syst. Biol.,https://doi.org/10.1155/2007/82702,Exclude,EC2,"The paper appears to be primary research, but it focuses on genetic regulatory networks rather than programming paradigms. It does not investigate paradigmatic compatibility in software development.",maybe,yes,no,no
Quantitative Programming and Continuous-Time Markov Chains,2023,Symposium on Symbolic and Numeric Algorithms for Scientific Computing,https://doi.org/10.1109/SYNASC61333.2023.00022,Exclude,EC2,"This is primary research investigating formal verification methods, but it doesn't specifically focus on paradigmatic compatibility. It introduces a ""quantitative programming paradigm"" but this appears to be a specific approach rather than a study of paradigm …",maybe,yes,no,no
Exploring Model Engineering Techniques for the Integration of Heterogeneous Context Models,2007,Advances in Mobile Multimedia,-,Exclude,EC2,"The paper appears to be primary research investigating integration approaches, but it focuses on context-aware systems rather than programming paradigms specifically. It does not directly address paradigmatic compatibility.",maybe,yes,no,no
"REPRESENTATION, PROPAGATION AND COMBINATION OF UNCERTAIN INFORMATION",1994,-,https://doi.org/10.1080/03081079408908030,Exclude,EC2,"The paper appears to be primary research investigating compatibility between different paradigms of uncertainty representation, but these are mathematical/statistical paradigms rather than programming paradigms, which is a significant mismatch with the intende…",maybe,yes,no,no
Towards a Framework to Integrate Proof Search Paradigms,2003,-,-,Exclude,EC1,"The study explores paradigmatic compatibility in theorem proving, addressing multiple proof search methodologies through a unified framework. While demonstrating strong theoretical foundations in analyzing different programming paradigms, the abstract lacks cl…",maybe,yes,yes,yes
Active Models: A Possible Approach to the Integration of Objective and Subjective Process Models,2005,International Software Process Workshop,https://doi.org/10.1007/11608035_11,Exclude,EC1,"The abstract mentions ""explicit and tacit knowledge"" but does not clearly address interactions between different programming paradigms.",maybe,yes,no,no
Metamodelling with formal semantics with application to access control specification,2015,International Conference on Model-Driven Engineering and Software Development,https://doi.org/10.5220/0005272903540362,Exclude,EC2,"The paper appears to be primary research proposing a metamodelling paradigm, but it does not specifically focus on paradigmatic compatibility. Instead, it focuses on access control specification languages and their formal semantics.",maybe,yes,no,no
Workshop on Integration of Declarative Paradigms,1995,Knowledge engineering review (Print),https://doi.org/10.1017/S0269888900008158,Exclude,EC1,"A workshop overview discussing paradigm integration across multiple programming approaches, demonstrating strong alignment with criteria related to multiple paradigms and paradigmatic compatibility. However, significant uncertainties exist regarding empirical …",maybe,yes,yes,yes
Darwinian Model Upgrades: Model Evolving with Selective Compatibility,2022,AAAI Conference on Artificial Intelligence,https://doi.org/10.48550/arXiv.2210.06954,Exclude,EC1,"While the paper discusses different models, it doesn't address programming paradigms or their compatibility.",yes,yes,no,no
CONCEPTUAL MODELLING AND THE QUALITY OF ONTOLOGIES : A COMPARISON BETWEEN OBJECT-ROLE MODELLING AND THE OBJECT PARADIGM,2010,-,-,Exclude,EC1,"The study compares ontology modeling paradigms through a systematic analytical approach, but diverges from the screening criteria's focus on programming paradigms. While demonstrating paradigmatic comparison and systematic evaluation, the research primarily ad…",maybe,yes,maybe,maybe
Assessing Web Services Interfaces with Lightweight Semantic Basis,2017,Computing and informatics,https://doi.org/10.4149/cai_2017_5_1173,Exclude,EC1,The paper does not address interactions between different programming paradigms. It focuses on web service integration and compatibility.,maybe,yes,no,no
Supporting modelers with model qualities and patterns,2017,Research Challenges in Information Science,https://doi.org/10.1109/RCIS.2017.7956573,Exclude,EC1,"The abstract addresses multiple modeling methods and tools, but lacks clear evidence of paradigmatic compatibility research or empirical validation. While touching on multiple paradigms, the text appears more focused on model selection criteria than systematic…",maybe,yes,maybe,maybe
A Multi-paradigm Complexity Metric (MCM),2011,Communication Systems and Applications,https://doi.org/10.1007/978-3-642-21934-4_28,Exclude,EC1,A research paper proposing a metric for multi-paradigm programming languages demonstrates strong potential in addressing paradigmatic compatibility across procedural and object-oriented programming approaches. While the study shows promise in quantitative anal…,maybe,yes,yes,yes
