Title,Authors,DOI,DOI link,Venue,Citation count,Year,Full-Text Accessibility,"Reasoning for ""Full-Text Accessibility""",Publication Language,"Reasoning for ""Publication Language""",Empirical Evidence,"Reasoning for ""Empirical Evidence""",Multiple Paradigms,"Reasoning for ""Multiple Paradigms""",Paradigmatic Compatibility Focus,"Reasoning for ""Paradigmatic Compatibility Focus""",Quantitative Components,"Reasoning for ""Quantitative Components""",Study Type,"Reasoning for ""Study Type""",Validation Methods,"Reasoning for ""Validation Methods""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score,Reason code,Reason note,ReasonCode,ReasonNote
Metamodelling with formal semantics with application to access control specification,"Jamal Abd-Ali, K. E. Guemhioui, L. Logrippo",10.5220/0005272903540362,https://doi.org/10.5220/0005272903540362,International Conference on Model-Driven Engineering and Software Development,1,2015,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,The abstract does not explicitly mention empirical data or systematic observations about paradigm integration. It describes a methodological approach but does not clearly indicate empirical validation.,no,The paper does not explicitly address interactions between different programming paradigms. It focuses on a single metamodelling approach for access control specifications.,no,"The paper does not appear to focus on paradigmatic compatibility or integration between programming paradigms. Instead, it focuses on metamodelling for access control specifications.",no,"While the paper deals with formal specifications and first-order logic, it does not appear to include quantitative measurements or systematic observations about paradigm integration.",no,"The paper appears to be primary research proposing a metamodelling paradigm, but it does not specifically focus on paradigmatic compatibility. Instead, it focuses on access control specification languages and their formal semantics.",maybe,"The abstract mentions ""means of reasoning on formal specifications"" and mapping to first-order logic programs, suggesting some form of validation, but it is not clearly stated if there is empirical testing.",Exclude,"The abstract describes a metamodelling approach for access control specification languages, but fails to meet key screening criteria related to paradigmatic compatibility and integration. While technically rigorous, the paper does not address interactions between programming paradigms, lacks clear empirical evidence of paradigm integration, and focuses primarily on formal specification methods rather than paradigm compatibility.",2.5,EC2,"The paper appears to be primary research proposing a metamodelling paradigm, but it does not specifically focus on paradigmatic compatibility. Instead, it focuses on access control specification languages and their formal semantics.",EC2,"The paper appears to be primary research proposing a metamodelling paradigm, but it does not specifically focus on paradigmatic compatibility. Instead, it focuses on access control specification languages and their formal semantics."
Workshop on Integration of Declarative Paradigms,J. Moreno-Navarro,10.1017/S0269888900008158,https://doi.org/10.1017/S0269888900008158,Knowledge engineering review (Print),0,1995,maybe,"The abstract indicates that the paper is from a workshop proceedings, but it is unclear whether the full text is accessible through university libraries, author websites, or public archives.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The abstract does not explicitly mention empirical data or systematic observations, so it is unclear whether the paper includes empirical data or systematic observations about integration challenges or interoperability between different programming paradigms.",yes,"The paper clearly addresses multiple paradigms, specifically mentioning functional, logic, object-oriented, constraints, and concurrency paradigms, meeting the multiple paradigms criterion.",yes,"The paper explicitly focuses on integration of declarative paradigms and compatibility between different programming paradigms (functional, logic, object-oriented, constraints, concurrency), meeting the paradigmatic compatibility focus criterion.",maybe,"While the abstract mentions ""efficient implementation,"" it does not clearly indicate whether the paper includes quantitative components, measurements, or systematic observations beyond purely theoretical discussion or personal experience.",yes,"The paper appears to be a workshop overview paper discussing paradigm integration, which could qualify as a systematic review of paradigm integration.",no,"The abstract does not mention any specific validation methods or empirical testing, indicating that the paper does not include validation methods, empirical testing, or systematic evaluation of its findings or proposed metrics.",Exclude,"A workshop overview discussing paradigm integration across multiple programming approaches, demonstrating strong alignment with criteria related to multiple paradigms and paradigmatic compatibility. However, significant uncertainties exist regarding empirical validation, quantitative components, and full-text accessibility, which limit the paper's comprehensive assessment against the screening criteria.",3.2,EC6,"While the abstract mentions ""efficient implementation,"" it does not clearly indicate whether the paper includes quantitative components, measurements, or systematic observations beyond purely theoretical discussion or personal experience.",EC1,"A workshop overview discussing paradigm integration across multiple programming approaches, demonstrating strong alignment with criteria related to multiple paradigms and paradigmatic compatibility. However, significant uncertainties exist regarding empirical …"
Darwinian Model Upgrades: Model Evolving with Selective Compatibility,"Binjie Zhang, Shupeng Su, Yixiao Ge, Xuyuan Xu, Yexin Wang, Chun Yuan, Mike Zheng Shou, Ying Shan",10.48550/arXiv.2210.06954,https://doi.org/10.48550/arXiv.2210.06954,AAAI Conference on Artificial Intelligence,4,2022,yes,"The paper appears to be accessible through GitHub and likely academic channels, though this isn't explicitly confirmed in the abstract.",yes,"The paper is written in English, meeting the language requirement.",yes,"The study includes empirical data from experiments, but again, not related to programming paradigm integration.",no,"While the paper discusses different models, it doesn't address programming paradigms or their compatibility.",no,"The paper focuses on model compatibility in machine learning rather than programming paradigm compatibility. While it discusses compatibility, it's in a different context than what the screening criteria seek.",yes,"The study includes quantitative measurements and systematic observations, but focused on model performance metrics rather than programming paradigm metrics.",maybe,"While this is primary research, it focuses on model upgrading paradigms rather than programming paradigm compatibility. The ""paradigm"" discussed is about model evolution, not programming paradigms.",yes,"The study includes ""comprehensive experiments on large-scale landmark retrieval and face recognition benchmarks,"" indicating empirical validation.",Exclude,"The study focuses on machine learning model upgrading paradigms, which fundamentally differs from programming paradigm compatibility. Despite methodological rigor and empirical validation, the research does not address interactions between programming paradigms, rendering it non-compliant with the systematic review's core screening criteria. Consequently, the paper would not be suitable for inclusion in the review.",2.5,EC1,"While the paper discusses different models, it doesn't address programming paradigms or their compatibility.",EC1,"While the paper discusses different models, it doesn't address programming paradigms or their compatibility."
CONCEPTUAL MODELLING AND THE QUALITY OF ONTOLOGIES : A COMPARISON BETWEEN OBJECT-ROLE MODELLING AND THE OBJECT PARADIGM,"Mohammad Mourhaf al Asswad, Mutaz M. Al-Debei, Sergio de Cesare, M. Lycett",-,-,-,11,2010,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The study includes a comparative analysis of two ontologies, suggesting some empirical observation, though the extent is not clear from the abstract.",maybe,"The study does address two different paradigms (ORM and OP), but these are modeling paradigms for ontology development rather than programming paradigms.",maybe,"The paper does compare different modeling paradigms (ORM vs OP) and their compatibility for ontology development, but this is not specifically about programming paradigms as typically understood in software engineering.",maybe,The abstract mentions analytical comparison but does not explicitly indicate quantitative measurements. The evaluation appears more qualitative in nature.,maybe,"The paper appears to be primary research comparing two modeling paradigms (ORM and OP) for ontology development, which involves paradigm comparison, but is focused on ontology modeling rather than programming paradigms specifically.",maybe,"The abstract mentions ""analytically compared using the specified criteria,"" suggesting some systematic evaluation, though the details are limited.",Exclude,"The study compares ontology modeling paradigms through a systematic analytical approach, but diverges from the screening criteria's focus on programming paradigms. While demonstrating paradigmatic comparison and systematic evaluation, the research primarily addresses ontology modeling techniques rather than software engineering paradigm integration. Consequently, the paper only partially meets the established screening requirements.",2.9,EC1,"The study compares ontology modeling paradigms through a systematic analytical approach, but diverges from the screening criteria's focus on programming paradigms. While demonstrating paradigmatic comparison and systematic evaluation, the research primarily ad…",EC1,"The study compares ontology modeling paradigms through a systematic analytical approach, but diverges from the screening criteria's focus on programming paradigms. While demonstrating paradigmatic comparison and systematic evaluation, the research primarily ad…"
Assessing Web Services Interfaces with Lightweight Semantic Basis,"Martin Garriga, A. D. Renzis, A. Flores, A. Cechich, Alejandro Zunino",10.4149/cai_2017_5_1173,https://doi.org/10.4149/cai_2017_5_1173,Computing and informatics,4,2017,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but the paper appears to be from a formal publication.",yes,"The paper is written in English, meeting the language requirement.",yes,The study includes empirical testing with real-life web services and evaluation using information retrieval metrics.,no,The paper does not address interactions between different programming paradigms. It focuses on web service integration and compatibility.,no,"The paper focuses on web service compatibility and selection rather than programming paradigm compatibility. While it discusses interface compatibility, this is at the service level, not the programming paradigm level.",yes,"The study includes quantitative evaluation using ""well-known metrics of the Information Retrieval field.""",maybe,"While this is primary research, it focuses on web service selection and interface compatibility rather than paradigmatic compatibility specifically. The focus is more on service discovery and integration.",yes,"The abstract mentions ""a set of experiments"" and evaluation ""against third-party approaches with a data-set of real-life Web Services,"" indicating empirical validation.",Exclude,"The study focuses on web service selection and interface compatibility, which diverges from the screening criteria's emphasis on programming paradigm compatibility. While the research demonstrates strong empirical and quantitative methodologies, it lacks direct engagement with multiple programming paradigms or paradigmatic integration. Consequently, the paper does not align sufficiently with the specified screening requirements.",2.7,EC1,The paper does not address interactions between different programming paradigms. It focuses on web service integration and compatibility.,EC1,The paper does not address interactions between different programming paradigms. It focuses on web service integration and compatibility.
Supporting modelers with model qualities and patterns,Fabrice Boissier,10.1109/RCIS.2017.7956573,https://doi.org/10.1109/RCIS.2017.7956573,Research Challenges in Information Science,2,2017,maybe,The abstract does not provide enough information to determine if the full text is accessible.,yes,"The paper is written in English, so it meets the publication language criterion.",no,The abstract does not indicate whether empirical data or systematic observations are included.,maybe,"The paper does address multiple modeling methods and tools, suggesting multiple paradigms are considered, but the focus seems to be on selection rather than compatibility or integration.",maybe,"While the paper mentions ""multiple modeling methods and tools"" and limitations by ""tools or paradigms,"" it does not explicitly focus on paradigmatic compatibility or integration. The focus appears to be on model selection criteria.",maybe,"The abstract mentions ""criteria"" for decision-making but does not specify if these are quantitative or systematic.",maybe,"The abstract suggests this is a research paper about modeling methods and tools, but it's unclear if it specifically investigates paradigmatic compatibility. The focus appears to be more on model selection criteria.",no,The abstract does not mention any validation methods or empirical testing.,Exclude,"The abstract addresses multiple modeling methods and tools, but lacks clear evidence of paradigmatic compatibility research or empirical validation. While touching on multiple paradigms, the text appears more focused on model selection criteria than systematic integration or quantitative analysis of programming paradigms.",2.8,EC6,"The abstract mentions ""criteria"" for decision-making but does not specify if these are quantitative or systematic.",EC1,"The abstract addresses multiple modeling methods and tools, but lacks clear evidence of paradigmatic compatibility research or empirical validation. While touching on multiple paradigms, the text appears more focused on model selection criteria than systematic…"
A Multi-paradigm Complexity Metric (MCM),"S. Misra, I. Akman, Ferid Cafer",10.1007/978-3-642-21934-4_28,https://doi.org/10.1007/978-3-642-21934-4_28,Communication Systems and Applications,2,2011,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The abstract does not explicitly mention empirical data or systematic observations, which creates significant uncertainty.",yes,"The paper explicitly addresses multiple paradigms, including procedural and object-oriented languages, meeting this criterion.",yes,"The paper directly addresses paradigmatic compatibility by proposing a metric for evaluating code across multiple programming paradigms, including procedural and object-oriented languages, which strongly meets this criterion.",maybe,"The paper proposes a metric, which implies quantitative components, but the abstract doesn't specify the nature or extent of these measurements.",yes,"The paper appears to be primary research proposing a new metric for multi-paradigm programming languages, which aligns with the criterion of investigating paradigmatic compatibility.",maybe,"The abstract does not explicitly mention any validation methods or empirical testing of the proposed metric, which creates significant uncertainty.",Exclude,"A research paper proposing a metric for multi-paradigm programming languages demonstrates strong potential in addressing paradigmatic compatibility across procedural and object-oriented programming approaches. While the study shows promise in quantitative analysis of programming paradigms, significant uncertainties exist regarding empirical validation and systematic testing of the proposed metric. The work appears to offer a novel approach to measuring code compatibility across different programming paradigms.",3.9,EC1,A research paper proposing a metric for multi-paradigm programming languages demonstrates strong potential in addressing paradigmatic compatibility across procedural and object-oriented programming approaches. While the study shows promise in quantitative anal…,EC1,A research paper proposing a metric for multi-paradigm programming languages demonstrates strong potential in addressing paradigmatic compatibility across procedural and object-oriented programming approaches. While the study shows promise in quantitative anal…
Proposing a Paradigm for e-Collaboration,"Gang Chen, Waiman Cheung, Sung-Chi Chu, W. Wong",-,-,-,3,2003,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,The abstract doesn't indicate any empirical data collection or systematic observations about programming paradigm integration. The focus is on organizational collaboration.,no,"While the paper discusses different levels of integration, these are not programming paradigms but rather organizational collaboration paradigms.",no,"While the paper discusses paradigms, it's focused on e-Collaboration paradigms rather than programming paradigms. The mathematical modeling mentioned doesn't appear to address programming paradigm compatibility.",maybe,"The paper includes mathematical modeling, but this appears to be for organizational integration rather than programming paradigms.",no,"The paper appears to be primary research developing a framework for e-Collaboration, but it does not specifically investigate paradigmatic compatibility in programming. It focuses on organizational collaboration paradigms, which is a different domain.",maybe,"The abstract mentions ""mathematical modeling"" as a validation approach, but it's unclear how rigorous this validation is. The paper seems more focused on framework development than empirical validation.",Exclude,"The abstract describes a study on e-Collaboration frameworks that fundamentally differs from the systematic review's focus on programming paradigm compatibility. Despite using mathematical modeling and discussing paradigms, the research addresses organizational collaboration rather than programming integration, rendering it incompatible with the screening criteria. Consequently, the paper does not meet the core requirements for inclusion in the systematic review.",1.4,EC2,"The paper appears to be primary research developing a framework for e-Collaboration, but it does not specifically investigate paradigmatic compatibility in programming. It focuses on organizational collaboration paradigms, which is a different domain.",EC2,"The paper appears to be primary research developing a framework for e-Collaboration, but it does not specifically investigate paradigmatic compatibility in programming. It focuses on organizational collaboration paradigms, which is a different domain."
Performance model’s development: a novel approach encompassing ontology-based data access and visual analytics,"M. Angelini, C. Daraio, M. Lenzerini, F. Leotta, G. Santucci",10.1007/s11192-020-03689-x,https://doi.org/10.1007/s11192-020-03689-x,Scientometrics,4,2020,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, and this is typically assessed during the full-text review.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The study includes empirical evidence through a user study, but this evidence is not specifically about paradigm integration challenges.",maybe,"While the paper mentions combining two approaches (ontology-based and visual analytics), this is not specifically about programming paradigms as defined in the criteria.",maybe,"The paper mentions combining ""ontology-based data access paradigm with visual analytics environment,"" but this appears to be about combining different approaches rather than specifically addressing paradigmatic compatibility. The focus is more on evaluation metrics and visualization.",yes,"The paper deals with quantitative evaluation and metrics, though not specifically for paradigm compatibility.",no,"The paper appears to be primary research proposing a new approach to performance evaluation and metrics, but it does not specifically focus on paradigmatic compatibility or software measurement integration. It is more about evaluation metrics and visualization.",yes,"The paper includes a comprehensive user study that evaluates the proposed approach, indicating the presence of empirical validation methods.",Exclude,"The study presents a novel approach to performance evaluation metrics, combining ontology-based data access with visual analytics, but does not directly address programming paradigm compatibility. While the research includes empirical validation through a user study and demonstrates quantitative components, it falls short of the specific screening criteria focused on paradigmatic integration and compatibility. The paper's primary focus on evaluation metrics and visualization diverges from the systematic review's core requirements.",2.7,EC2,"The paper appears to be primary research proposing a new approach to performance evaluation and metrics, but it does not specifically focus on paradigmatic compatibility or software measurement integration. It is more about evaluation metrics and visualization…",EC2,"The paper appears to be primary research proposing a new approach to performance evaluation and metrics, but it does not specifically focus on paradigmatic compatibility or software measurement integration. It is more about evaluation metrics and visualization…"
Magdeburg The METRICS NEWS can be ordered directly from the Editorial Office,"R. Dumke, C. Ebert, E. Rudolph, H. Zuse, C. Ebert, E. Rudolph, H. Zuse",-,-,-,0,2001,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper appears to be written in English, though it has some grammatical errors.",maybe,"The paper discusses empirical evaluations and mentions specific types, but it is unclear if it presents new empirical data. It appears to be more of a review of existing approaches.",maybe,"While the paper mentions ""new development paradigms,"" it does not explicitly discuss interactions between multiple paradigms. The focus seems to be on measurement frameworks rather than paradigm integration.",maybe,"While the paper mentions ""development paradigm"" and discusses limitations with new paradigms, it appears to focus more on measurement frameworks than paradigmatic compatibility specifically.",yes,"The paper clearly deals with metrics and quantitative measurements, discussing various types of empirical evaluations.",maybe,"The paper appears to be a review/analysis of measurement frameworks and their validation approaches, but it is not clearly focused on paradigmatic compatibility.",yes,The paper explicitly discusses different types of empirical evaluations and validation approaches.,Exclude,"The abstract discusses measurement frameworks and empirical evaluations, touching on development paradigms but lacking a clear focus on paradigmatic compatibility. While the paper includes quantitative components and validation methods, its primary emphasis appears to be on measurement approaches rather than systematic paradigm integration. The poorly written abstract creates uncertainty about the study's precise scope and depth of analysis.",3.2,EC1,"The abstract discusses measurement frameworks and empirical evaluations, touching on development paradigms but lacking a clear focus on paradigmatic compatibility. While the paper includes quantitative components and validation methods, its primary emphasis ap…",EC1,"The abstract discusses measurement frameworks and empirical evaluations, touching on development paradigms but lacking a clear focus on paradigmatic compatibility. While the paper includes quantitative components and validation methods, its primary emphasis ap…"
Model Transformation Reuse: A Graph-based Model Typing Approach. (Réutilisation de transformation de modèle : une approche de typage de modèle basée sur les graphes),Q. Pham,-,-,-,5,2012,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but the fact that it is a dissertation suggests it may be available through academic channels.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,The abstract mentions prototyping but doesn't explicitly discuss empirical data about integration challenges between programming paradigms.,maybe,"While the paper deals with different metamodels, it doesn't explicitly address programming paradigms. It focuses on model transformation compatibility rather than programming paradigm integration.",maybe,"The paper addresses compatibility between different metamodels and their transformations, which is related to but not exactly the same as programming paradigm compatibility. It focuses more on model transformation than programming paradigms.",maybe,The paper appears to be more focused on formal methods and transformation mechanisms rather than quantitative measurements or metrics.,maybe,"The paper presents primary research on transformation compatibility between different metamodels, which relates to paradigmatic compatibility, but it is more focused on model transformation than programming paradigms specifically.",maybe,"The abstract mentions prototyping with MOMENT2, suggesting some empirical validation, though details are limited.",Exclude,"The dissertation addresses model transformation compatibility through metamodel correspondences, but diverges from direct programming paradigm integration. While demonstrating technical sophistication in transformation mechanisms, the study lacks explicit focus on programming paradigm compatibility, quantitative metrics, and comprehensive empirical validation. The research provides insights into model representation compatibility but falls short of fully meeting the specified screening criteria for programming paradigm research.",2.9,EC1,"The dissertation addresses model transformation compatibility through metamodel correspondences, but diverges from direct programming paradigm integration. While demonstrating technical sophistication in transformation mechanisms, the study lacks explicit focu…",EC1,"The dissertation addresses model transformation compatibility through metamodel correspondences, but diverges from direct programming paradigm integration. While demonstrating technical sophistication in transformation mechanisms, the study lacks explicit focu…"
Quantitative Evaluation of Pairwise Interactions between Agents,"Takahiro Kawamura, S. Joseph, Akihiko Ohsuga, S. Honiden",10.1007/978-3-540-45347-5_16,https://doi.org/10.1007/978-3-540-45347-5_16,ASA/MA,8,2000,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",yes,"The study includes empirical data from a distributed DB system implementation using the Bee-gent Agent Framework, meeting the empirical evidence criterion.",yes,"The paper explicitly focuses on multiple paradigms, defining three basic agent paradigms and their interactions.",yes,"The paper directly addresses paradigmatic compatibility by defining and analyzing three basic agent paradigms and their integration, and includes formal performance models and quantitative metrics for comparison.",yes,"The paper includes strong evidence of quantitative components through performance models and measurements of network traffic, processing time, and memory usage.",yes,"The paper presents primary research investigating different agent paradigms and their integration, which aligns with the criterion of paradigmatic compatibility research.",yes,"The abstract explicitly mentions quantitative evaluation and performance models, including empirical testing of network traffic, processing time, and memory usage, which strongly meets the validation criterion.",Include,"The study presents a rigorous investigation of agent paradigms with strong quantitative and empirical components, systematically analyzing multiple interaction models through performance metrics and distributed system implementation. By defining three basic agent paradigms and evaluating them across network traffic, processing time, and memory usage, the research provides comprehensive insights into paradigmatic compatibility and integration. The work demonstrates robust methodological approaches to understanding complex system interactions through empirical testing and performance modeling.",4.6,IC,"Meets IC; multi-paradigm, compatibility focus, quantitative component, empirical evidence, validation method, research contribution, supported language.",IC,"Meets IC; multi-paradigm, compatibility focus, quantitative component, empirical evidence, validation method, research contribution, supported language."
Foundations of multi-paradigm modeling and simulation: a meta-theoretic approach to modeling and simulation,M. Traoré,-,-,Online World Conference on Soft Computing in Industrial Applications,4,2003,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,The abstract does not indicate any clear empirical data or systematic observations.,maybe,"The paper does address multiple formalisms and modeling processes, but these appear to be more about modeling and simulation rather than programming paradigms specifically.",maybe,"The paper discusses integration of multiple formalisms and modeling processes, which is related to paradigmatic compatibility, but it is more focused on modeling and simulation architecture than programming paradigms specifically.",no,The abstract suggests a theoretical framework but does not indicate specific quantitative components or measurements.,maybe,"The paper appears to be primary research proposing a methodological framework for modeling and simulation, which is related to but not directly focused on paradigmatic compatibility.",no,"The abstract does not explicitly mention any validation methods or empirical testing, indicating a lack of clear validation methods.",Exclude,"The abstract describes a methodological framework for modeling and simulation that integrates multiple formalisms, but lacks clear evidence of empirical validation or quantitative components. While addressing multiple modeling processes, the study does not directly focus on programming paradigms or provide systematic observations about paradigmatic compatibility. The theoretical nature of the work and absence of explicit validation methods suggest limited alignment with the screening criteria.",2.9,EC6,The abstract suggests a theoretical framework but does not indicate specific quantitative components or measurements.,EC6,The abstract suggests a theoretical framework but does not indicate specific quantitative components or measurements.
Dagstuhl Seminar 9538 New Trends in the Intergration of Paradigms,Chris Hankin,-,-,-,0,1995,maybe,The abstract does not provide enough information to determine if the full text is accessible.,yes,"The paper is written in English, meeting the language requirement.",no,The abstract does not mention any empirical data or systematic observations. It focuses on theoretical frameworks and approaches.,yes,"The paper strongly meets this criterion, explicitly discussing multiple paradigms and their integration (object-oriented, concurrent, functional, declarative).",yes,"The paper has a strong focus on paradigmatic compatibility, discussing integration of different paradigms (object-oriented, concurrent, functional, declarative) and coordination mechanisms.",no,The abstract suggests a primarily theoretical discussion without mention of quantitative measurements or systematic observations.,yes,"The paper appears to be a systematic review or analysis of paradigm integration, discussing various approaches to paradigm compatibility and integration.",no,The abstract does not mention any specific validation methods or empirical testing. It discusses theoretical approaches and frameworks but does not indicate validation of findings.,Exclude,"The document explores programming paradigm integration through a theoretical lens, addressing multiple paradigms and their potential interactions. While demonstrating strong conceptual insights into paradigm compatibility, the text lacks empirical validation, quantitative measurements, and systematic evidence. The work appears more focused on theoretical frameworks and potential approaches rather than providing concrete, data-driven analysis of paradigm integration.",3.1,EC6,The abstract suggests a primarily theoretical discussion without mention of quantitative measurements or systematic observations.,EC6,The abstract suggests a primarily theoretical discussion without mention of quantitative measurements or systematic observations.
Integrating Formalized User Experience within Building Design Models,"Debajyoti Pati, G. Augenbroe",10.1111/j.1467-8667.2006.00474.x,https://doi.org/10.1111/j.1467-8667.2006.00474.x,Comput. Aided Civ. Infrastructure Eng.,4,2007,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,"The abstract does not clearly indicate whether empirical data is included. It mentions ""performance data"" but in the context of building performance, not programming paradigms.",no,"The paper does address integration between different approaches, but these are architectural modeling paradigms, not programming paradigms.",no,"While the paper discusses integration of different modeling approaches (descriptive and evaluative/performance), it is not focused on programming paradigms. The ""paradigms"" mentioned are in the context of architectural modeling.",no,"While the paper likely includes some quantitative elements (building performance data), these are not related to programming paradigms.",no,"The paper appears to be primary research investigating modeling integration, but it is focused on architectural/construction modeling rather than programming paradigms, which is a significant mismatch with the intended focus.",no,"The abstract mentions a ""modeling study"" but does not explicitly describe validation methods or empirical testing, suggesting the paper is more conceptual in nature.",Exclude,"The abstract describes an architectural modeling study focused on building performance, which fundamentally differs from the systematic review's target of programming paradigm integration. Despite addressing integration and compatibility, the paper's domain of Architecture, Engineering, and Construction (AEC) represents a complete mismatch with the intended research scope. Consequently, the abstract fails to meet the core screening criteria related to programming paradigms.",1.4,EC2,"The paper appears to be primary research investigating modeling integration, but it is focused on architectural/construction modeling rather than programming paradigms, which is a significant mismatch with the intended focus.",EC2,"The paper appears to be primary research investigating modeling integration, but it is focused on architectural/construction modeling rather than programming paradigms, which is a significant mismatch with the intended focus."
Semantic interoperability and retrieval paradigms,Felix Boteram,-,-,-,1,2011,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, which meets the publication language criterion.",no,"The abstract does not indicate any empirical data or systematic observations, suggesting the paper is more focused on presenting an approach rather than analyzing empirical evidence.",no,"While the paper discusses different paradigms, they are retrieval paradigms in information systems, not programming paradigms, which is a different domain than what the criteria specify.",no,"While the paper discusses interoperability, it is focused on indexing strategies and retrieval paradigms in information systems, not programming paradigms, which is a significant mismatch with the criterion.",no,The abstract does not provide any clear indication of quantitative components or measurements.,maybe,"The paper appears to be primary research investigating interoperability, but it is focused on information systems rather than programming paradigms specifically, which is a partial match at best.",no,"The abstract does not explicitly mention any validation methods or empirical testing, suggesting a more theoretical approach.",Exclude,"The abstract describes an approach to information systems interoperability that fundamentally diverges from the required focus on programming paradigm compatibility. Critical screening criteria related to programming paradigms, empirical validation, and quantitative analysis are not met, rendering the paper unsuitable for the systematic review. The study's domain and methodological approach are misaligned with the specified research parameters.",2.5,EC1,"While the paper discusses different paradigms, they are retrieval paradigms in information systems, not programming paradigms, which is a different domain than what the criteria specify.",EC1,"While the paper discusses different paradigms, they are retrieval paradigms in information systems, not programming paradigms, which is a different domain than what the criteria specify."
Complexity and Development Effort Prediction Models Using Component Oriented Metrics,"Nael Salman, A. Dogru",-,-,-,3,2006,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, though with some minor formatting issues.",maybe,"The study includes empirical data from student projects and 5 validation projects, but this data is not about paradigm integration challenges.",no,The paper focuses on component-oriented design but does not address interactions between multiple programming paradigms.,no,The paper focuses on component-oriented metrics but does not explicitly address paradigmatic compatibility or integration between different paradigms.,yes,The study includes quantitative metrics and regression models.,maybe,"The paper is primary research investigating component-oriented metrics and development effort estimation, which is related to software measurement but does not specifically focus on paradigmatic compatibility.",yes,The study includes validation using data from 5 projects and regression models based on student project data.,Exclude,"The study presents a quantitative analysis of component-oriented metrics with empirical validation, but lacks direct focus on paradigmatic compatibility or interactions between multiple programming paradigms. While demonstrating strong methodological rigor through regression models and project data, the research does not align with the core screening criteria related to paradigm integration and cross-paradigm analysis.",2.7,EC1,The paper focuses on component-oriented design but does not address interactions between multiple programming paradigms.,EC1,The paper focuses on component-oriented design but does not address interactions between multiple programming paradigms.
Combining Independent Specifications,"J. N. Reed, J. Sinclair",10.1007/3-540-45314-8_5,https://doi.org/10.1007/3-540-45314-8_5,Fundamental Approaches to Software Engineering,6,2001,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,"The abstract does not explicitly mention empirical data collection or systematic observations, and the focus appears more theoretical/formal.",yes,"The paper explicitly addresses multiple paradigms, specifically combining ""state-based deductive formalisms"" and ""event-based model checking formalisms.""",yes,"The paper explicitly focuses on a ""mixed-paradigm approach combining different specification methods"" and discusses formal models for compatibility between different paradigms (state-based and event-based), which aligns with the paradigmatic compatibility focus criterion.",maybe,"The paper includes formal quantitative components through its use of CSP and formal semantics, though it's not clear if there are numerical measurements.",yes,"The paper presents primary research investigating formal frameworks for component compatibility, which aligns with the study type criterion focused on paradigmatic compatibility research.",maybe,"The abstract mentions using CSP and failures semantic model for formal analysis, suggesting the inclusion of systematic evaluation methods. However, it's not explicitly clear if empirical testing was performed.",Exclude,"A formal research paper exploring mixed-paradigm approaches to component specification, focusing on integrating state-based and event-based formalisms through systematic analysis. The study demonstrates strong alignment with paradigmatic compatibility research by proposing a framework for understanding interactions between different programming paradigms, with particular emphasis on formal semantic models and component relationships. While theoretically robust, the abstract suggests limited empirical validation of the proposed approach.",4.3,EC6,"The paper includes formal quantitative components through its use of CSP and formal semantics, though it's not clear if there are numerical measurements.",EC1,"A formal research paper exploring mixed-paradigm approaches to component specification, focusing on integrating state-based and event-based formalisms through systematic analysis. The study demonstrates strong alignment with paradigmatic compatibility research…"
