Title,Authors,DOI,DOI link,Venue,Citation count,Year
Modeling Numerosity Representation With an Integrated Diffusion Model,"R. Ratcliff, G. McKoon",10.1037/rev0000085,https://doi.org/10.1037/rev0000085,Psychology Review,36,2017
"A Metric for User Requirements Traceability in Sequence, Class Diagrams, and Lines-Of-Code via Robustness Diagrams","J. Malinao, Kristhian B. Tiu, Louise Michelle O. Lozano, Sonia M. Pascua, R. B. Chua, M. A. Magboo, Jaime D. L. Caro",10.1007/978-4-431-54436-4_4,https://doi.org/10.1007/978-4-431-54436-4_4,-,5,2013
Transforming functional models to critical chain models via expert knowledge and automatic parsing rules for design analogy identification,"M. Agyemang, J. Linsey, C. Turner",10.1017/S0890060417000488,https://doi.org/10.1017/S0890060417000488,"Artificial intelligence for engineering design, analysis and manufacturing",15,2017
Protocols versus objects: can models for telecommunications and distributed processing coexist?,"M. V. Sinderen, L. F. Pires",10.1109/FTDCS.1997.644696,https://doi.org/10.1109/FTDCS.1997.644696,Proceedings of the Sixth IEEE Computer Society Workshop on Future Trends of Distributed Computing Systems,12,1997
Combining expert ratings and exposure measurements: a random effect paradigm.,"P. Wild, E. Sauleau, E. Bourgkard, J. Moulin",10.1093/ANNHYG/MEF052,https://doi.org/10.1093/ANNHYG/MEF052,Annals of Occupational Hygiene,36,2002
Integration Systems and Interaction Spaces,"C. Landauer, K. Bellman",10.1007/978-94-009-0349-4_13,https://doi.org/10.1007/978-94-009-0349-4_13,International Symposium on Frontiers of Combining Systems,32,1996
Characterizing Compatibility of Timed Choreography,"Nawal Guermouche, C. Godart",10.4018/jwsr.2011040101,https://doi.org/10.4018/jwsr.2011040101,International Journal of Web Services Research,12,2011
A Diffusion Model Analysis of the Response-Effect Compatibility Effect,"M. Janczyk, Veronika Lerche",10.1037/xge0000430,https://doi.org/10.1037/xge0000430,Journal of experimental psychology. General,35,2019
"Extending the ontology, metacommunication and communicability of semiotic engineering to the emerging paradigm of human-computer integration (HInt)","G. A. R. Barbosa, R. Prates",10.1145/3554364.3559109,https://doi.org/10.1145/3554364.3559109,Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais,2,2022
A computational paradigm that integrates rule‐based and model‐based reasoning in expert systems,N. Lee,10.1002/int.4550050202,https://doi.org/10.1002/int.4550050202,International Journal of Intelligent Systems,3,1990
Timed Model Checking Based Approach for Web Services Analysis,"Nawal Guermouche, C. Godart",10.1109/ICWS.2009.42,https://doi.org/10.1109/ICWS.2009.42,IEEE International Conference on Web Services,62,2009
Dual-task performance on an interactive human/computer space shuttle flight experiment.,"D. Newman, S. Bussolari",-,-,Biomedical sciences instrumentation,5,1990
The MT model transformation language,L. Tratt,10.1145/1141277.1141577,https://doi.org/10.1145/1141277.1141577,ACM Symposium on Applied Computing,34,2006
Correlative comparison of visual working memory paradigms and associated models,"Fatemeh Hojjati, Ali Motahharynia, Armin Adibi, Iman Adibi, Mehdi Sanayei",10.1038/s41598-024-72035-5,https://doi.org/10.1038/s41598-024-72035-5,Scientific Reports,0,2024
How to assess a software process modeling formalism from a project member's point of view,"H. D. Rombach, M. Verlage",10.1109/SPCON.1993.236814,https://doi.org/10.1109/SPCON.1993.236814,[1993] Proceedings of the Second International Conference on the Software Process-Continuous Software Process Improvement,21,1993
New Planning Methodologies in Strategic Management ; An Inter-Paradigm System Dynamics Approach,"Georgios Papageorgiou, A. Hadjis",-,-,-,3,2008
"Testing the cognitive relevance of a geometric model on a word association task: A comparison of humans, ACOM, and LSA","Hyngsuk Ji, Benoît Lemaire, Hyunseung Choo, Sabine Ploux",10.3758/BRM.40.4.926,https://doi.org/10.3758/BRM.40.4.926,Behavior Research Methods,10,2008
A unified approach for verification and validation of systems and software engineering models,"Luay Alawneh, M. Debbabi, Yosr Jarraya, Andrei Soeanu, Fawzi Hassaïne",10.1109/ECBS.2006.17,https://doi.org/10.1109/ECBS.2006.17,European Conference on the Engineering of Computer-Based Systems,35,2006
A modeling framework for the application of multi-paradigm simulation methods,"K. Mykoniatis, A. Angelopoulou",10.1177/0037549719843339,https://doi.org/10.1177/0037549719843339,International Conference on Advances in System Simulation,23,2019
Reproducibility of LLM-based Recommender Systems: the Case Study of P5 Paradigm,"Pasquale Lops, Antonio Silletti, Marco Polignano, C. Musto, Giovanni Semeraro",10.1145/3640457.3688072,https://doi.org/10.1145/3640457.3688072,ACM Conference on Recommender Systems,1,2024
Formalisms in Software Engineering: Myths Versus Empirical Facts,"Dieter Rombach, Frank Seelisch",10.1007/978-3-540-85279-7_2,https://doi.org/10.1007/978-3-540-85279-7_2,Central and East European Conference on Software Engineering Techniques,17,2008
Fundamental Aspects Concerning the Usability Evaluation of Model-Driven Object Oriented Programming Approaches in Machine and Plant Automation,"Martin Obermeier, Steven Braun, Kerstin Sommer, B. Vogel‐Heuser",10.1007/978-3-642-21708-1_56,https://doi.org/10.1007/978-3-642-21708-1_56,Interacción,9,2011
A modeling paradigm incorporating parametric and non-parametric methods,"D. Song, Z. Wang, V. Marmarelis, T. Berger",10.1109/IEMBS.2004.1403241,https://doi.org/10.1109/IEMBS.2004.1403241,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,4,2004
A semiotic framework for manufacturing systems integration –Part I: Generative integration model,"G. Putnik, Zlata Putnik",10.1080/0951192X.2010.510292,https://doi.org/10.1080/0951192X.2010.510292,International journal of computer integrated manufacturing (Print),34,2010
Electronic Communications of the EASST Volume 072 ( 2015 ) Proceedings of the 15 th International Workshop on Automated Verification of Critical Systems ( AVoCS 2015 ) Automated Verification of Asynchronous Communicating Systems with TLA +,"Florent Chevrou, A. Hurault, P. Quéinnec",-,-,-,6,2015
Analysis of systematic engineering design paradigms in industrial practice: Scaled experiments,C. Spitas,10.1080/09544820903437742,https://doi.org/10.1080/09544820903437742,-,21,2011
Integrando metodologias na análise de dados sob o paradigma interacionista simbólico: um caso prático,"L. A. P. Miguel, Silvio Popadiuk",10.1590/1679-39519359,https://doi.org/10.1590/1679-39519359,-,2,2014
When a Formal Model Rhymes with a Graphical Notation,"Akram Idani, N. Stouls",10.1007/978-3-319-15201-1_4,https://doi.org/10.1007/978-3-319-15201-1_4,SEFM Workshops,5,2014
Model-based interfacing of large-scale metrology instruments,"B. Montavon, M. Peterek, R. Schmitt",10.1117/12.2527461,https://doi.org/10.1117/12.2527461,Optical Metrology,11,2019
Formalization of Validation Extension Metamodel for Enterprise Architecture Frameworks,"Samia Oussena, J. Essien, P. Komisarczuk",10.5220/0004950304270434,https://doi.org/10.5220/0004950304270434,International Conference on Enterprise Information Systems,1,2014
An integration framework for multi-paradigm software process modeling,"W. Xiaopeng, H. Tao, F. Tao, Wu Shengli",10.1109/ICIPS.1997.669381,https://doi.org/10.1109/ICIPS.1997.669381,IEEE International Conference on Intelligent Processing Systems,0,1997
Metacognition and system usability: Incorporating metacognitive research paradigm into usability testing,"Rakefet Ackerman, A. Parush, Fareda Nassar, A. Shtub",10.1016/j.chb.2015.07.041,https://doi.org/10.1016/j.chb.2015.07.041,Computers in Human Behavior,33,2016
A model-driven framework for multi-paradigm modeling and holistic simulation of healthcare systems,"Ignace Djitog, H. Aliyu, M. Traoré",10.1177/0037549717744888,https://doi.org/10.1177/0037549717744888,International Conference on Advances in System Simulation,21,2018
Model Selection in AVSP : Some Old and Not So Old News,"J. Schwartz, F. Berthommier, M. Cathiard, D. Sodoyer",-,-,-,2,2004
FROM DIFFICULT PROBLEMS TO PROGRAMMING PARADIGMS,Л.В. Городняя,10.38028/ESI.2021.21.1.008,https://doi.org/10.38028/ESI.2021.21.1.008,-,0,2021
Does Information Theory Provide a New Paradigm for Earth Science? Hypothesis Testing,"G. Nearing, B. Ruddell, Andrew R. Bennett, Cristina Prieto, H. Gupta",10.1029/2019WR024918,https://doi.org/10.1029/2019WR024918,Water Resources Research,41,2020
A metric for measuring the degree of entity-centric service cohesion,"A. Rostampour, A. Kazemi, F. S. Aliee, A. Zamiri, Pooyan Jamshidi",10.1109/SOCA.2010.5707187,https://doi.org/10.1109/SOCA.2010.5707187,IEEE International Conference on Service-Oriented Computing and Applications,16,2010
Formalizing Adaptation On-the-Fly,"S. Andova, L. Groenewegen, J. Stafleu, E. Vink",10.1016/j.entcs.2009.10.023,https://doi.org/10.1016/j.entcs.2009.10.023,FOCLASA,13,2009
Triune Continuum Paradigm: a paradigm for General System Modeling and its applications for UML and RM-ODP,Andrey Naumenko,-,-,-,25,2002
Using the Visual World Paradigm to Study Retrieval Interference in Spoken Language Comprehension,"Irina A. Sekerina, Luca Campanelli, J. V. Van Dyke",10.3389/fpsyg.2016.00873,https://doi.org/10.3389/fpsyg.2016.00873,Frontiers in Psychology,12,2016
Effects of frequency and regularity in an integrative model of word storage and processing,"Claudia Marzi, Marcello Ferro, Franco Alberto Cardillo, Vito Pirrelli",-,-,-,12,2016
Electronic Communications of the EASST Volume X ( 2010 ) Proceedings of the 4 th International Workshop on Multi-Paradigm Modeling ( MPM 2010 ) A generic in-place transformation-based approach to structured model co-evolution,"B. Meyers, M. Wimmer, A. Cicchetti, J. Sprinkle",-,-,-,40,2010
An empirical study to compare two parallel programming models,"L. Hochstein, V. Basili",10.1145/1148109.1148127,https://doi.org/10.1145/1148109.1148127,ACM Symposium on Parallelism in Algorithms and Architectures,14,2006
A Model-Based Framework for Adapting Interaction Mismatches of Time-Aware Web Services,"Guangquan Zhang, Sheng Wang, Mei Rong, Qingchun Li",10.1109/ICSS.2010.23,https://doi.org/10.1109/ICSS.2010.23,International Conference on Service Science,2,2010
Component-based modeling of dynamic systems using heterogeneous composition,"Zsolt Lattmann, Adam Nagel, T. Levendovszky, T. Bapty, S. Neema, G. Karsai",10.1145/2508443.2508456,https://doi.org/10.1145/2508443.2508456,MPM '12,8,2012
Towards a Hybrid Temporal Paradigm for Musical Composition and Performance: The Case of Musical Interpretation,"M. Desainte-Catherine, A. Allombert, G. Assayag",10.1162/COMJ_a_00179,https://doi.org/10.1162/COMJ_a_00179,Computer Music Journal,23,2013
An on-chip interconnect and protocol stack for multiple communication paradigms and programming models,"Andreas Hansson, K. Goossens",10.1145/1629435.1629450,https://doi.org/10.1145/1629435.1629450,International Conference on Hardware/Software Codesign and System Synthesis,27,2009
Parametric/direct CAD integration,Qiang Zou,10.1016/j.cad.2022.103465,https://doi.org/10.1016/j.cad.2022.103465,Comput. Aided Des.,9,2022
A model for combined targeting and tracking tasks in computer applications,"Ransalu Senanayake, E. Hoffmann, R. Goonetilleke",10.1007/s00221-013-3700-4,https://doi.org/10.1007/s00221-013-3700-4,Experimental Brain Research,22,2013
Effects of variability in models: a family of experiments,"Wardah Mahmood, D. Strüber, Anthony Anjorin, T. Berger",10.1007/s10664-021-10112-3,https://doi.org/10.1007/s10664-021-10112-3,Empirical Software Engineering,3,2022
Dynamic consistency in process algebra: From Paradigm to ACP,"S. Andova, L. Groenewegen, E. Vink",10.1016/j.scico.2010.04.011,https://doi.org/10.1016/j.scico.2010.04.011,Science of Computer Programming,21,2009
A GUI modeling DSL for pattern-based GUI testing PARADIGM,"Rodrigo M. L. M. Moreira, A. C. Paiva",10.5220/0004880601260135,https://doi.org/10.5220/0004880601260135,International Conference on Evaluation of Novel Approaches to Software Engineering,25,2014
A multi-paradigm modeling and simulation methodology: formalisms and languages,"H. Vangheluwe, G. Vansteenkiste",-,-,-,13,1996
Uncertainty analysis and composite hypothesis under the likelihood paradigm,"A. Chalom, Paulo In'acio de Knegt L'opez de Prado",-,-,-,3,2015
Evaluation of Requirements Models,Catarina Gralha,10.1109/RE.2016.28,https://doi.org/10.1109/RE.2016.28,IEEE International Requirements Engineering Conference,5,2016
Challenges of Integrating LLMs Like ChatGPT with Enterprise Software and Solving it with Object Messaging and Intelligent Objects as a New Software Design Paradigm,Massoud Alibakhsh,10.1109/CSCE60160.2023.00054,https://doi.org/10.1109/CSCE60160.2023.00054,"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",1,2023
Intersektionalität und Diversity – zwei kompatible Paradigmen?,Katharina Walgenbach,10.3224/ZDFM.V3I1.04,https://doi.org/10.3224/ZDFM.V3I1.04,Zeitschrift für Diversitätsforschung und -management,6,2018
Benchmarking pointing techniques with distractors: adding a density factor to Fitts' pointing paradigm,"R. Blanch, Michael Ortega-Binderberger",10.1145/1978942.1979180,https://doi.org/10.1145/1978942.1979180,International Conference on Human Factors in Computing Systems,34,2011
Unifying Different Psychometric Methods : Theory and Experiment,"Jonathan Vacher, Ruben Coen-Cagli, P. Mamassian",10.1167/jov.22.14.3879,https://doi.org/10.1167/jov.22.14.3879,Journal of Vision,0,2022
A Theoretical and Empirical Analysis of Three Slice-Based Metrics for Cohesion,"S. Counsell, T. Hall, David Bowes",10.1142/S0218194010004888,https://doi.org/10.1142/S0218194010004888,International journal of software engineering and knowledge engineering,5,2010
Metrics and similarities in modeling dependencies between continuous and nominal data,"M. Grabowski, M. Korpusik",-,-,-,3,2013
A Compositional Explanation of the 'Pet Fish' Phenomenon,"B. Coecke, Martha Lewis",10.1007/978-3-319-28675-4_14,https://doi.org/10.1007/978-3-319-28675-4_14,Quantum Interaction,11,2015
AutoNet: Meta-model for Seamless Integration of Timed Automata and Colored Petri Nets,"M. W. Ahmad, Muhammad Waseem Anwar, F. Azam, Yawar Rasheed, Usman Ghani, Mukhtar Ahmad",10.1007/978-3-030-47679-3_26,https://doi.org/10.1007/978-3-030-47679-3_26,International Conference on Computer Information Systems and Industrial Management Applications,1,2020
Formalization of the RM-ODP foundations based on the Triune Continuum Paradigm,"Andrey Naumenko, A. Wegmann",10.1016/j.csi.2005.10.001,https://doi.org/10.1016/j.csi.2005.10.001,Comput. Stand. Interfaces,8,2007
Towards an Approach for Orchestrating Design Space Exploration Problems to Fix Multi-Paradigm Inconsistencies,"S. Herzig, Benjamin Kruse, Federico Ciccozzi, J. Denil, Rick Salay, Dániel Varró",-,-,MPM@MoDELS,4,2014
A generic framework for representing and analyzing model concurrency,"S. Zschaler, Erwan Bousse, Julien Deantoni, B. Combemale",10.1007/s10270-022-01073-2,https://doi.org/10.1007/s10270-022-01073-2,Journal of Software and Systems Modeling,2,2023
"Correctness, Completeness, Consistency: Challenges of Migrating Arrowhead System-of-Systems Models","Géza Kulcsár, Johannes Kristan, Sven Erik Jeroschewski",10.1109/NOMS54207.2022.9789830,https://doi.org/10.1109/NOMS54207.2022.9789830,IEEE/IFIP Network Operations and Management Symposium,1,2022
Author accepted manuscript: Consistency measures individuate dissociating semantic modulations in priming paradigms: A new look on semantics in the processing of (complex) words.,"Simona Amenta, D. Crepaldi, M. Marelli",10.1177/1747021820927663,https://doi.org/10.1177/1747021820927663,Quarterly Journal of Experimental Psychology,11,2020
A Category-Theoretical Approach to the Formalisation of Version Control in MDE,"Adrian Rutle, A. Rossini, Yngve Lamo, U. Wolter",10.1007/978-3-642-00593-0_5,https://doi.org/10.1007/978-3-642-00593-0_5,Fundamental Approaches to Software Engineering,32,2009
Integrated formal methods with richer methodological profiles for the development of multi-perspective systems,A. Galloway,-,-,-,19,1996
The effects of stimulus modality and task integrality: Predicting dual-task performance and workload from single-task levels,"S. Hart, R. Shively, M. Vidulich, R. Miller",-,-,-,4,1986
The use of numerical value of adverbs of quantity and frequency in the measurement of behavior patterns: transforming ordinal scales into interval scales,"Artur Parreira, Ana Lorga Silva",10.1590/S0104-40362016000100005,https://doi.org/10.1590/S0104-40362016000100005,-,7,2016
The model-assisted global query system,Waiman Cheung,-,-,-,19,1992
Visual world paradigm reveals the time course of spoken language processing,-,10.3724/sp.j.1042.2023.02050,https://doi.org/10.3724/sp.j.1042.2023.02050,Advances in Psychological Science,0,2023
A Modeling Paradigm for Integrated Modular Avionics Design,"A. Gamatie, Christian Brunette, Romain Delamare, T. Gautier, J. Talpin",10.1109/EUROMICRO.2006.11,https://doi.org/10.1109/EUROMICRO.2006.11,EUROMICRO Conference on Software Engineering and Advanced Applications,26,2006
Towards Compositional Domain Specific Languages,"Andreas Horst, Bernhard Rumpe",-,-,MPM@MoDELS,9,2013
Focused attention vs. crossmodal signals paradigm: deriving predictions from the time-window-of-integration model,"H. Colonius, A. Diederich",10.3389/fnint.2012.00062,https://doi.org/10.3389/fnint.2012.00062,Frontiers in Integrative Neuroscience,18,2012
Proceedings of the Society for Computation in Linguistics Proceedings of the Society for Computation in Linguistics Formalizing Inflectional Paradigm Shape with Information Theory Formalizing Inflectional Paradigm Shape with Information Theory,-,-,-,-,1,2021
An Integrative Bargaining Paradigm for Investigating Multidisciplinary Design Tradeoffs,"Clifford E. Brown, Jonathan A. Selvaraj, B. S. Zaff, M. McNeese, R. Whitaker",10.1177/154193129403801608,https://doi.org/10.1177/154193129403801608,-,1,1994
Using Software Requirement Specification as Complexity Metric for Multi-Paradigm Programming Languages,"S. Olabiyisi, B. AdetunjiA., R. OlusiT.",-,-,-,5,2013
5th International Workshop on Multi-Paradigm Modeling for Cyber-Physical Systems (MPM4CPS),"Randy Paredis, Moussa Amrani, Joeri Exelmans, Dominique Blouin, Moharram Challenger, Robert Heinrich",10.1109/models-c59198.2023.00084,https://doi.org/10.1109/models-c59198.2023.00084,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,0,2023
A Meta‐Model for integrating Human Factors into System Engineering,"K. Amokrane-Ferka, A. Hein",10.1002/iis2.12876,https://doi.org/10.1002/iis2.12876,INCOSE International Symposium,3,2022
An ontology-based approach for integrating tools supporting the software measurement process,"V. S. Fonseca, M. Barcellos, R. Falbo",10.1016/j.scico.2016.10.004,https://doi.org/10.1016/j.scico.2016.10.004,Science of Computer Programming,18,2017
Analyzing Mediated Service Protocol Interactions Considering User's Expectation,"Zhangbing Zhou, H. Chao, Sami Bhiri, Lei Shu, M. Hauswirth",-,-,-,3,2010
Semantic integration of IEC 60870 into CIM,"Yoseba K. Penya, Aitor Peña, O. K. Esteban",10.1109/SmartGridComm.2011.6102360,https://doi.org/10.1109/SmartGridComm.2011.6102360,IEEE International Conference on Smart Grid Communications,6,2011
Inhibition in the Dynamics of Selective Attention: An Integrative Model for Negative Priming,"Hecke Schrobsdorff, M. Ihrke, J. Behrendt, M. Hasselhorn, J. Herrmann",10.3389/fpsyg.2012.00491,https://doi.org/10.3389/fpsyg.2012.00491,Front. Psychology,11,2012
An Integrative Framework to Protocol Analysis and Repair: Bellare-Rogaway Model + Planning + Model Checker,Kim-Kwang Raymond Choo,10.15388/INFORMATICA.2007.193,https://doi.org/10.15388/INFORMATICA.2007.193,Informatica,4,2007
Semantic matching in machine reading comprehension: An empirical study,"Qian Liu, Rui Mao, Xiubo Geng, Erik Cambria",10.1016/j.ipm.2022.103145,https://doi.org/10.1016/j.ipm.2022.103145,Information Processing & Management,22,2022
Migration among simulation paradigms and tools,"Mairita Zaķe, E. Ginters",-,-,-,3,2014
USE OF MODELLING PARADIGMS : AN EXPLANATORY STUDY OF SD AND ABM MODELS,"Adriana Ortiz, F. O. Sveen, J. M. Sarriegi, Javier Santos",-,-,-,3,2008
A schema for computer-human interface design,"Stanley W. Driskel, A. Feldt, B. Galler",-,-,-,1,1994
Usability testing with total-effort metrics,"L. Feldman, Carl J. Mueller, D. Tamir, Oleg V. Komogortsev",10.1109/ESEM.2009.5316022,https://doi.org/10.1109/ESEM.2009.5316022,International Symposium on Empirical Software Engineering and Measurement,5,2009
Assessing the Alignment of FOL Closeness Metrics with Human Judgement,"Ramya Keerthy Thatikonda, W. Buntine, Ehsan Shareghi",10.48550/arXiv.2501.08613,https://doi.org/10.48550/arXiv.2501.08613,arXiv.org,1,2025
Supply Chain Integration through Performance Measurement,S. Holmberg,-,-,-,18,2000
Parafoveal processing of lexical information during reading : from experiments to computational modeling,S. Seelig,10.25932/PUBLISHUP-50874,https://doi.org/10.25932/PUBLISHUP-50874,-,1,2021
Applying an MDA-based approach for enhancing the validation of business process models,"Nemury Silega Martínez, Manuel Noguera",10.1016/j.procs.2021.03.094,https://doi.org/10.1016/j.procs.2021.03.094,ANT/EDI40,5,2021
"(Meta-)Models, Tools and Infrastructures for Business Application Integration","R. Kutsche, N. Milanovic",10.1007/978-3-540-78942-0_55,https://doi.org/10.1007/978-3-540-78942-0_55,International United Information Systems Conference,7,2008
Automatizing the Evaluation of Model Matching Systems,"Kelly Garcés, Wolfgang Kling, F. Jouault",-,-,-,3,2010
PolyCARE: a tool for re-engineering multi-language program integrations,P. Linos,10.1109/ICECCS.1995.479355,https://doi.org/10.1109/ICECCS.1995.479355,Proceedings of First IEEE International Conference on Engineering of Complex Computer Systems. ICECCS'95,16,1995
Adaptation of the DARPA machine translation evlauation paradigm to end-to-end systems,"J. S. White, Theresa A. O'Connell",-,-,Conference of the Association for Machine Translation in the Americas,8,1996
Multilingual and multiparadigm integration of a tuple channel-based coordination model,"M. Díaz, B. Rubio, J. M. Troya",10.1145/330560.330668,https://doi.org/10.1145/330560.330668,ACM Symposium on Applied Computing,2,1998
An analysis of metamodeling practices for MOF and OCL,"J. Cadavid, B. Combemale, B. Baudry",10.1016/j.cl.2015.02.002,https://doi.org/10.1016/j.cl.2015.02.002,"Computer languages, systems & structures",20,2015
Compatibility and Continuity in Augmented Reality Systems,"L. Nigay, E. Dubois, J. Troccaz, E. Dubois, L. Nigay, J. Troccaz",-,-,-,3,2001
Modeling collaboration protocols for collaborative modeling tools: Experiences and applications,"Jesús Gallardo, Crescencio Bravo, M. Redondo, J. Lara",10.1016/j.jvlc.2012.10.006,https://doi.org/10.1016/j.jvlc.2012.10.006,Journal of Visual Languages and Computing,9,2013
Model Interoperability for Performance Engineering: Survey of Milestones and Evolution,"C. U. Smith, Catalina M. Lladó",10.1007/978-3-642-25575-5_2,https://doi.org/10.1007/978-3-642-25575-5_2,About Performance,7,2010
"Integrating the Physical and Link Layers in Modeling the Wireless Ad Hoc Networking MAC Protocol , Synchronous Collision Resolution",J. Stine,-,-,-,3,-
Testing Age Invariance in Language Processes,"Reinhold Kliegl, U. Mayr, M. Junker, G. Fanselow",10.1007/0-306-46902-2_6,https://doi.org/10.1007/0-306-46902-2_6,-,9,2002
Achieving QVTO & ATL Interoperability: An Experience Report on the Realization of a QVTO to ATL Computer,A. Laarman,-,-,-,3,2009
A unifying framework for homogeneous model composition,"J. Kienzle, G. Mussbacher, B. Combemale, Julien Deantoni",10.1007/s10270-018-00707-8,https://doi.org/10.1007/s10270-018-00707-8,Journal of Software and Systems Modeling,18,2019
A mental model perspective for tool development and paradigm shift in spreadsheets,"Bennett Kankuzi, J. Sajaniemi",10.1016/j.ijhcs.2015.10.005,https://doi.org/10.1016/j.ijhcs.2015.10.005,Int. J. Hum. Comput. Stud.,12,2016
"Metaphors, Stories, Models: A Unified Account of Decisions",Johannes M. Lehner,10.5840/POM20022121,https://doi.org/10.5840/POM20022121,-,4,2002
A verified integration of parallel programming paradigms in CC++,P. Sivilotti,10.1109/IPPS.1994.288320,https://doi.org/10.1109/IPPS.1994.288320,Proceedings of 8th International Parallel Processing Symposium,8,1994
An exercise in deriving a protocol conversion,"K. Calvert, S. Lam",10.1145/55482.55498,https://doi.org/10.1145/55482.55498,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",18,1987
Modeling mean estimation tasks in within-trial and across-trial contexts,"Ke Tong, Chad Dubé",10.3758/s13414-021-02410-1,https://doi.org/10.3758/s13414-021-02410-1,"Attention, Perception, & Psychophysics",6,2022
Towards a Formal Specification of Multi-paradigm Modelling,"Moussa Amrani, Dominique Blouin, R. Heinrich, A. Rensink, H. Vangheluwe, A. Wortmann",10.1109/MODELS-C.2019.00067,https://doi.org/10.1109/MODELS-C.2019.00067,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),14,2019
"Paradigms, Possibilities, and Probabilities: Comment on Hinterecker, Knauff, and Johnson-Laird (2016)","M. Oaksford, D. Over, Nicole Cruz",10.1037/xlm0000586,https://doi.org/10.1037/xlm0000586,"Journal of Experimental Psychology. Learning, Memory and Cognition",15,2019
A mixed paradigm reasoning approach to problem-solving in incomplete causal-theory domains,John D. Hastings,-,-,-,4,1996
Magic Potion: Incorporating New Development Paradigms through Metaprogramming,"D. Djuric, V. Devedzic",10.1109/MS.2010.90,https://doi.org/10.1109/MS.2010.90,IEEE Software,14,2010
Metamodeling functional and interactive parts of systems for composition considerations,"Audrey Occello, C. Joffroy, A. Pinna-Dery, Philippe Renevier-Gonin, M. Riveill",10.3233/JCM-2011-0381,https://doi.org/10.3233/JCM-2011-0381,J. Comput. Methods Sci. Eng.,1,2011
Meta-level Extension of the Multigraph Architecture,"G. Nordstrom, J. Sztipanovits, G. Karsai",-,-,-,10,1998
Meta-Modeling And Structural Paradigm For Strategic Alignment Of Information System,"A. Boulmakoul, N. Falih, R. Marghoubi",-,-,Mediterranean Conference on Information Systems,1,2009
Integration Issues of Qualitative and Quantitative Methods in Psychological Research,V. Nosulenko,10.17759/exppsy.2021140301,https://doi.org/10.17759/exppsy.2021140301,Experimental Psychology,8,2021
Incremental Effects of Mismatch during Picture-Sentence Integration: Evidence from Eye-Tracking,"M. Crocker, P. Knoeferle",-,-,-,14,2005
Multi-protocol architectures as a paradigm for achieving inter-operability,"R. Clark, M. Ammar, K. Calvert",10.1109/INFCOM.1993.253240,https://doi.org/10.1109/INFCOM.1993.253240,"IEEE INFOCOM '93 The Conference on Computer Communications, Proceedings",12,1993
Evidences of the mismatch between industry and academy on modelling language quality evaluation,"F. Giraldo, Sergio España, Ó. Pastor",-,-,arXiv.org,6,2016
An Expeditious Approach to Modeling IDE Interaction Design,"V. Sousa, Eugene Syriani",-,-,GEMOC+MPM@MoDELS,4,2015
Comparison of Gene Regulatory Networks via Steady-State Trajectories,"M. Brun, Seungchan Kim, Woonjung Choi, E. Dougherty",10.1155/2007/82702,https://doi.org/10.1155/2007/82702,EURASIP J. Bioinform. Syst. Biol.,7,2007
Vers une mesure de l'intelligibilité linguistique de la prosodie : évaluation diagnostique des prosodies synthétique et naturelle,Albert Rilliard,-,-,-,3,2000
Quantitative Programming and Continuous-Time Markov Chains,E. Todoran,10.1109/SYNASC61333.2023.00022,https://doi.org/10.1109/SYNASC61333.2023.00022,Symposium on Symbolic and Numeric Algorithms for Scientific Computing,0,2023
Exploring Model Engineering Techniques for the Integration of Heterogeneous Context Models,W. Schwinger,-,-,Advances in Mobile Multimedia,2,2007
"REPRESENTATION, PROPAGATION AND COMBINATION OF UNCERTAIN INFORMATION","Yiyu Yao, S. Wong",10.1080/03081079408908030,https://doi.org/10.1080/03081079408908030,-,12,1994
What Petri Nets Oblige us to Say Comparing Approaches for Behavior Composition,"Achiya Elyasaf, Tom Yaacov, Gera Weiss",10.1109/TSE.2022.3216683,https://doi.org/10.1109/TSE.2022.3216683,IEEE Transactions on Software Engineering,4,2022
De la nécessité de fédérer des modèles dans une chaîne d'outils,"Ali Koudri, Christophe Guychard, S. Guérin, Fabien Dagnat, Antoine Beugnard, J. Champeau",-,-,-,3,2013
Towards a Framework to Integrate Proof Search Paradigms,"S. Autexier, Christoph Benzmüller, D. Hutter, F. Informatik",-,-,-,3,2003
Active Models: A Possible Approach to the Integration of Objective and Subjective Process Models,B. Warboys,10.1007/11608035_11,https://doi.org/10.1007/11608035_11,International Software Process Workshop,2,2005
Metamodelling with formal semantics with application to access control specification,"Jamal Abd-Ali, K. E. Guemhioui, L. Logrippo",10.5220/0005272903540362,https://doi.org/10.5220/0005272903540362,International Conference on Model-Driven Engineering and Software Development,1,2015
Workshop on Integration of Declarative Paradigms,J. Moreno-Navarro,10.1017/S0269888900008158,https://doi.org/10.1017/S0269888900008158,Knowledge engineering review (Print),0,1995
Sequential Effects on Reaction Time Distributions: Commonalities and Differences Across Paradigms,"Anne Voormann, Jeff Miller",10.5334/joc.395,https://doi.org/10.5334/joc.395,Journal of Cognition,1,2024
