Title,Authors,DOI,DOI link,Venue,Citation count,Year
Designing Dynamic and Collaborative Automation and Robotics Software Systems,"Z. Salcic, U. Atmojo, Heejong Park, A. Chen, K. Wang",10.1109/TII.2017.2786280,https://doi.org/10.1109/TII.2017.2786280,IEEE Transactions on Industrial Informatics,18,2019
Semantic interoperability for an integrated product development process: a systematic literature review,"A. L. Szejka, O. C. Júnior, H. Panetto, E. Loures, A. Aubry",10.1080/00207543.2017.1346314,https://doi.org/10.1080/00207543.2017.1346314,International Journal of Production Research,29,2017
Negotiating Multilingual Quality in Component Content-Management Environments,T. Batova,10.1109/TPC.2017.2747278,https://doi.org/10.1109/TPC.2017.2747278,IEEE Transactions on Professional Communication,9,2018
Language-Independent and Automated Software Composition: The FeatureHouse Experience,"S. Apel, Christian Kästner, C. Lengauer",10.1109/TSE.2011.120,https://doi.org/10.1109/TSE.2011.120,IEEE Transactions on Software Engineering,124,2013
"Towards an information semantic interoperability in smart manufacturing systems: contributions, limitations and applications","Ramon Martinez Pereira, A. L. Szejka, O. C. Júnior",10.1080/0951192X.2021.1891571,https://doi.org/10.1080/0951192X.2021.1891571,International journal of computer integrated manufacturing (Print),14,2021
An interoperability framework for multicentric breath metabolomic studies,"A. Gisler, K. Singh, Jiafa Zeng, M. Osswald, Mo Awchi, F. Decrue, Felix Schmidt, N. Sievi, Xing Chen, J. Usemann, Urs Frey, M. Kohler, Xue Li, P. Sinues",10.1016/j.isci.2022.105557,https://doi.org/10.1016/j.isci.2022.105557,iScience,10,2022
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","Junda He, Christoph Treude, David Lo",10.1145/3712003,https://doi.org/10.1145/3712003,ACM Transactions on Software Engineering and Methodology,19,2024
Semantic issues in model-driven management of information system interoperability,"F. Bénaben, Nicolas Boissel-Dallier, H. Pingaud, J. Lorré",10.1080/0951192X.2012.684712,https://doi.org/10.1080/0951192X.2012.684712,International journal of computer integrated manufacturing (Print),37,2013
Introduction to the special issue:new and interdisciplinary approaches to linguistic relativity,"P. Athanasopoulos, Emanuel Bylund, Daniel Casasanto",10.1111/LANG.12196,https://doi.org/10.1111/LANG.12196,-,19,2016
Metamorphic Testing for Software Quality Assessment: A Study of Search Engines,"Z. Zhou, Shaowen Xiang, T. Chen",10.1109/TSE.2015.2478001,https://doi.org/10.1109/TSE.2015.2478001,IEEE Transactions on Software Engineering,147,2016
Implementing standards for the interoperability among healthcare providers in the public regionalized Healthcare Information System of the Lombardy Region,"Fulvio Barbarito, F. Pinciroli, J. Mason, S. Marceglia, Luca Mazzola, S. Bonacina",10.1016/j.jbi.2012.01.006,https://doi.org/10.1016/j.jbi.2012.01.006,Journal of Biomedical Informatics,73,2012
Contrastive Pragmatics and Second Language (L2) Pragmatics: Approaches to Assessing L2 Speech Act Production,"Naoko Taguchi, Shuai Li",10.1163/26660393-bja10014,https://doi.org/10.1163/26660393-bja10014,Contrastive Pragmatics,15,2020
A maturity model for catalogues of semantic artefacts,"Óscar Corcho, Fajar J. Ekaputra, Ivan Heibi, C. Jonquet, A. Micsik, S. Peroni, Emanuele Storti",10.1038/s41597-024-03185-4,https://doi.org/10.1038/s41597-024-03185-4,Scientific Data,9,2023
Integration of an Index to Preserve the Semantic Interpretability in the Multiobjective Evolutionary Rule Selection and Tuning of Linguistic Fuzzy Systems,"M. J. Gacto, R. Alcalá, F. Herrera",10.1109/TFUZZ.2010.2041008,https://doi.org/10.1109/TFUZZ.2010.2041008,IEEE transactions on fuzzy systems,153,2010
"Experimental IR Meets Multilinguality, Multimodality, and Interaction","Philipp Schaer, Mandy Neumann",10.1007/978-3-319-98932-7,https://doi.org/10.1007/978-3-319-98932-7,Lecture Notes in Computer Science,96,2018
Mapping the integrative field: taking stock of socio-technical collaborations,"Erik Fisher, M. O'Rourke, R. Evans, Eric B. Kennedy, M. Gorman, T. Seager",10.1080/23299460.2014.1001671,https://doi.org/10.1080/23299460.2014.1001671,-,126,2015
A systematic review of item response theory in language assessment: Implications for the dimensionality of language ability,"Shangchao Min, Vahid Aryadoust",10.1016/j.stueduc.2020.100963,https://doi.org/10.1016/j.stueduc.2020.100963,-,16,2021
The Certain Approach to the Assessment of Interoperability of Railway Lines,J. Szkopiński,10.5604/08669546.1146969,https://doi.org/10.5604/08669546.1146969,-,6,2015
Enriching ontologies with multilingual information†,"Elena Montiel-Ponsoda, G. A. D. Cea, Asunción Gómez-Pérez, Wim Peters",10.1017/S1351324910000082,https://doi.org/10.1017/S1351324910000082,Natural Language Engineering,48,2010
Interlingual annotation of parallel text corpora: a new framework for annotation and evaluation,"B. Dorr, R. Passonneau, D. Farwell, Rebecca Green, N. Habash, Stephen Helmreich, Eduard H. Hovy, Lori S. Levin, Keith J. Miller, Teruko Mitamura, Owen Rambow, Advaith Siddharthan",10.1017/S1351324910000070,https://doi.org/10.1017/S1351324910000070,Natural Language Engineering,15,2010
Language education policy and multilingual assessment,"D. Gorter, J. Cenoz",10.1080/09500782.2016.1261892,https://doi.org/10.1080/09500782.2016.1261892,-,117,2017
From social and technical to socio-technical: Designing integrated research on domestic energy use,"J. Love, A. Cooper",10.1177/1420326X15601722,https://doi.org/10.1177/1420326X15601722,-,41,2015
"Integrated, Not Isolated: Defining Typological Proximity in an Integrated Multilingual Architecture","Michael T. Putnam, Matthew T. Carlson, D. Reitter",10.3389/fpsyg.2017.02212,https://doi.org/10.3389/fpsyg.2017.02212,Frontiers in Psychology,50,2018
Evaluating Transferability in Multilingual Text Analyses,"Justin Chun-ting Ho, Chung-hong Chan",10.5117/ccr2023.2.3.ho,https://doi.org/10.5117/ccr2023.2.3.ho,Computational Communication Research,3,2023
Integration: work still in progress.,"G. Wistow, H. Dickinson",10.1108/14777261211275881,https://doi.org/10.1108/14777261211275881,Journal of health organization and management,26,2012
Plurilingual and pluricultural competence,"Margareta Strasser, C. Reissner",10.1075/aila.22008.str,https://doi.org/10.1075/aila.22008.str,AILA Review,55,2022
Data Interoperability Between Elements of the Global Ocean Observing System,"D. Snowden, V. Tsontos, N. Handegard, M. Zárate, Kevin O’ Brien, K. Casey, N. Smith, H. Sagen, K. Bailey, M. Lewis, S. Arms",10.3389/fmars.2019.00442,https://doi.org/10.3389/fmars.2019.00442,Frontiers in Marine Science,18,2019
Globalizing Domain-Specific Languages,"B. Combemale, B. Cheng, J. Jézéquel, Bernhard Rumpe",10.1007/978-3-319-26172-0,https://doi.org/10.1007/978-3-319-26172-0,Lecture Notes in Computer Science,11,2015
"Issues, Challenges, and Future Directions for Multilingual Assessment","Yangting Wang, Shikun Li",10.17507/jltr.1106.06,https://doi.org/10.17507/jltr.1106.06,-,6,2020
"The foundation for future education, teaching, training, learning, and performing infrastructure - The open interoperability conceptual framework approach","Ana Perišić, Ines Perišić, Marko Lazić, B. Perišić",10.1016/j.heliyon.2023.e16836,https://doi.org/10.1016/j.heliyon.2023.e16836,Heliyon,15,2023
An approach to define semantics for BPM systems interoperability,"Mariela Rico, M. L. Caliusco, O. Chiotti, M. Galli",10.1080/17517575.2013.767381,https://doi.org/10.1080/17517575.2013.767381,Enterprise Information Systems,8,2015
Multilingual Conversational Systems to Drive the Collection of Patient-Reported Outcomes and Integration into Clinical Workflows,"I. Mlakar, V. Šafran, Daniel Hari, M. Rojc, Gazihan Alankus, Rafael Pérez Luna, Umut Arioz",10.3390/sym13071187,https://doi.org/10.3390/sym13071187,Symmetry,19,2021
ESCO: Boosting Job Matching in Europe with Semantic Interoperability,"Martin le Vrang, A. Papantoniou, Erika Pauwels, Pieter Fannes, Dominique Vandensteen, J. Smedt",10.1109/MC.2014.283,https://doi.org/10.1109/MC.2014.283,Computer,52,2014
A systemic approach for effective semantic access to cultural content,"I. Kollia, V. Tzouvaras, Nasos Drosopoulos, G. Stamou",10.3233/SW-2012-0051,https://doi.org/10.3233/SW-2012-0051,Semantic Web,21,2012
Assessing the impact of socio-technical congruence in software development: a systematic literature review,"B. Raza, R. Ahmad, M. Nasir, S. Fauzi, M. A. Raza",10.48129/kjs.v49i1.9240,https://doi.org/10.48129/kjs.v49i1.9240,Maǧallaẗ Al-Kuwayt li-l-ʿulūm,3,2021
Observing Strategies in Intercomprehension Reading. Some Clues for Assessment in Plurilingual Settings,"E. Bonvino, E. Fiorenza, Diego Cortés Velásquez",10.3389/fcomm.2018.00029,https://doi.org/10.3389/fcomm.2018.00029,Frontiers in Communication,18,2018
Multilingual question answering systems for knowledge graphs - a survey,"A. Perevalov, Andreas Both, A. Ngomo",10.3233/sw-243633,https://doi.org/10.3233/sw-243633,Semantic Web,5,2024
Principles and Standards for Designing and Managing Integrable and Interoperable Transformed Health Ecosystems,"B. Blobel, P. Ruotsalainen, F. Oemig, Mauro Giacomini, P. A. Sottile, Frederik Endsleff",10.3390/jpm13111579,https://doi.org/10.3390/jpm13111579,Journal of Personalized Medicine,6,2023
Multilingual testing and assessment,Massiel Zaragoza,10.1080/13670050.2022.2136935,https://doi.org/10.1080/13670050.2022.2136935,International Journal of Bilingual Education and Bilingualism,2,2021
"An information-theoretic, vector-space-model approach to cross-language information retrieval*","Peter A. Chew, B. Bader, Stephen Helmreich, Ahmed Abdelali, Stephen J Verzi",10.1017/S1351324910000185,https://doi.org/10.1017/S1351324910000185,Natural Language Engineering,19,2011
"Translation, Abstraction and Integration for Effective Smart System Design","M. Lora, S. Vinco, F. Fummi",10.1109/TC.2019.2909209,https://doi.org/10.1109/TC.2019.2909209,IEEE transactions on computers,21,2019
Creating an interoperable language resource for interoperable linguistic studies,A. Fang,10.1007/s10579-012-9189-9,https://doi.org/10.1007/s10579-012-9189-9,Language Resources and Evaluation,2,2012
Barriers and Possibilities for Interdisciplinary Disaster Science Research: Critical Appraisal of the Literature,"Blythe Johnston, John W. van de Lindt",10.1061/(asce)nh.1527-6996.0000520,https://doi.org/10.1061/(asce)nh.1527-6996.0000520,Natural Hazards Review,7,2022
Quality interoperability within digital libraries: the DL.org perspective,"N. Ferro, S. Higgins, M. Horik",-,-,-,9,2010
"User Experience, Functionality and Aesthetics Evaluation in an Academic Multi-Site Web Ecosystem","Andreas Giannakoulopoulos, Minas Pergantis, Aristeidis Lamprogeorgos",10.3390/fi16030092,https://doi.org/10.3390/fi16030092,Future Internet,0,2024
An approach for the semantic interoperability of ISO EN 13606 and OpenEHR archetypes,"Catalina Martínez-Costa, Marcos Menárguez Tortosa, J. Fernández-breis",10.1016/j.jbi.2010.05.013,https://doi.org/10.1016/j.jbi.2010.05.013,Journal of Biomedical Informatics,113,2010
"Interoperability based on IEC 61850 standard: Systematic literature review, certification method proposal, and case study","Matheus Ayello, Yona Lopes",10.1016/j.epsr.2023.109355,https://doi.org/10.1016/j.epsr.2023.109355,Electric power systems research,10,2023
Copula-based software metrics aggregation,"Maria Ulan, Welf Löwe, Morgan Ericsson, Anna Wingkvist",10.1007/s11219-021-09568-9,https://doi.org/10.1007/s11219-021-09568-9,Software quality journal,9,2021
Evaluation Methodology of Interoperability for the Industrial Domain: Standardization vs. Mediation,"Yuhan Chen, D. Annebicque, A. Philippot, V. Carré-Ménétrier, T. Daneau",10.3390/pr11041274,https://doi.org/10.3390/pr11041274,Processes,2,2023
Measuring Linguistic Diversity: A Multi-level Metric,"F. Grin, Guillaume Fürst",10.1007/s11205-022-02934-5,https://doi.org/10.1007/s11205-022-02934-5,Social Indicators Research,3,2022
A case study research on interoperability improvement in Smart Grids: state-of-the-art and further opportunities,"Johann Schütz, M. Uslar, Jürgen Meister",10.12688/OPENRESEUROPE.13313.1,https://doi.org/10.12688/OPENRESEUROPE.13313.1,Open Research Europe,5,2021
Approaching the Concept of Multiliteracies: Multilingual Writing Competence as an Integrated Model,"I. Usanova, Birger Schnoor",10.37213/cjal.2022.32598,https://doi.org/10.37213/cjal.2022.32598,Canadian Journal of Applied Linguistics,3,2022
Coordinating social programmes: Analysis of scenarios and implementation approaches based on the ISSA Guidelines on ICT,Raúl Ruggia-Frick,10.1111/ISSR.12118,https://doi.org/10.1111/ISSR.12118,-,4,2016
Adapting an Educational Software Internationally: Cultural and Linguistical Adaptation,"Samia Valeria Ozorio Dutra, Vanessa Chee, J. Clochesy",10.3390/educsci13030237,https://doi.org/10.3390/educsci13030237,Education sciences,3,2023
Emergent Middleware: Tackling the Interoperability Problem,"G. Blair, P. Grace",10.1109/MIC.2012.7,https://doi.org/10.1109/MIC.2012.7,IEEE Internet Computing,31,2012
A unified structural/terminological interoperability framework based on LexEVS: application to TRANSFoRm,"J. Éthier, O. Dameron, V. Curcin, M. McGilchrist, R. Verheij, Theodoros N. Arvanitis, A. Taweel, B. Delaney, Anita Burgun-Parenthoine",10.1136/amiajnl-2012-001312,https://doi.org/10.1136/amiajnl-2012-001312,J. Am. Medical Informatics Assoc.,47,2013
Special issue on Current trends in research on software agents and agent-based software systems,"M. Baldoni, F. Bergenti, Amal El Fallah Seghrouchni, M. Winikoff",10.1007/s10458-021-09510-0,https://doi.org/10.1007/s10458-021-09510-0,Autonomous Agents and Multi-Agent Systems,4,2021
"Web 2.0, Language Resources and standards to automatically build a multilingual Named Entity Lexicon","Antonio Toral, S. Ferrández, M. Monachini, R. Muñoz",10.1007/s10579-011-9148-x,https://doi.org/10.1007/s10579-011-9148-x,Language Resources and Evaluation,5,2011
Diversity and multilingual challenges in academic settings,"Patchareerat Yanaprasart, Georges Lüdi",10.1080/13670050.2017.1308311,https://doi.org/10.1080/13670050.2017.1308311,-,28,2018
Managing Complexity: A Technical Communication Translation Case Study in Multilateral International Collaboration,"B. Maylath, S. Vandepitte, Patricia Minacori, Suvi Isohella, B. Mousten, J. Humbley",10.1080/10572252.2013.730967,https://doi.org/10.1080/10572252.2013.730967,-,40,2013
An efficient any language approach for the integration of phrases in document retrieval,"A. Doucet, Helena Ahonen-Myka",10.1007/s10579-009-9102-3,https://doi.org/10.1007/s10579-009-9102-3,Language Resources and Evaluation,11,2010
An Analysis of Machine Learning-Based Semantic Matchmaking,"Erkan Karabulut, Rute C. Sofia",10.1109/ACCESS.2023.3259360,https://doi.org/10.1109/ACCESS.2023.3259360,IEEE Access,10,2023
"Special Topic Interoperability and EHR: Combining openEHR, SNOMED, IHE, and Continua as approaches to interoperability on national eHealth","D. Stanimirović, M. Bestek",10.4338/ACI-2017-01-RA-0011,https://doi.org/10.4338/ACI-2017-01-RA-0011,Applied Clinical Informatics,17,2017
Enabling semantic interoperability in multi-centric clinical trials on breast cancer,"R. Alonso-Calvo, D. Pérez-Rey, S. Paraíso-Medina, B. Claerhout, P. Hennebert, A. Bucur",10.1016/j.cmpb.2015.01.003,https://doi.org/10.1016/j.cmpb.2015.01.003,Comput. Methods Programs Biomed.,15,2015
"Building Educational Technologies for Code-Switching: Current Practices, Difficulties and Future Directions","L. Nguyen, Zheng Yuan, Graham Seed",10.3390/languages7030220,https://doi.org/10.3390/languages7030220,Languages,16,2022
Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,"E. Ponti, Helen O'Horan, Yevgeni Berzak, Ivan Vulic, Roi Reichart, T. Poibeau, Ekaterina Shutova, A. Korhonen",10.1162/coli_a_00357,https://doi.org/10.1162/coli_a_00357,Computational Linguistics,141,2018
A Meta-Composite Software Development Approach for Translational Research,"R. Sadasivam, M. Tanik",10.1007/s10916-013-9935-6,https://doi.org/10.1007/s10916-013-9935-6,Journal of medical systems,28,2013
An Adaptive Semantic based Mediation System for Data Interoperability among Health Information Systems,"W. A. Khan, A. Khattak, Maqbool Hussain, M. B. Amin, Muhammad Afzal, C. Nugent, Sungyoung Lee",10.1007/s10916-014-0028-y,https://doi.org/10.1007/s10916-014-0028-y,Journal of medical systems,45,2014
Collaborative Model-Driven Software Engineering: A Classification Framework and a Research Map,"Mirco Franzago, D. D. Ruscio, I. Malavolta, H. Muccini",10.1145/3180155.3182543,https://doi.org/10.1145/3180155.3182543,IEEE Transactions on Software Engineering,88,2018
An empirical study on the evaluation of interlinking tools on the Web of Data,"Enayat Rajabi, M. Sicilia, Salvador Sánchez-Alonso",10.1177/0165551514538151,https://doi.org/10.1177/0165551514538151,Journal of information science,16,2014
Interoperability: A conceptual framework to bridge the gap between multifunctional and multisystem urban flood management,"K. Vercruysse, D. Dawson, N. Wright",10.1111/jfr3.12535,https://doi.org/10.1111/jfr3.12535,Journal of Flood Risk Management,28,2019
Integrating Technical Debt Management and Software Quality Management Processes: A Normative Framework and Field Tests,"Narayan Ramasubbu, C. Kemerer",10.1109/TSE.2017.2774832,https://doi.org/10.1109/TSE.2017.2774832,IEEE Transactions on Software Engineering,18,2019
"Invited colloquium on negotiating the complexities of multilingual assessment, AAAL Conference 2014","Kate Menken, E. Shohamy",10.1017/S0261444815000166,https://doi.org/10.1017/S0261444815000166,Language Teaching,18,2015
Feedback Matching Framework for Semantic Interoperability of Product Data,"I. Yeo, Lalit Patil, D. Dutta",10.1109/TASE.2011.2171950,https://doi.org/10.1109/TASE.2011.2171950,IEEE Transactions on Automation Science and Engineering,1,2012
Assessing semantic interoperability in environmental sciences: variety of approaches and semantic artefacts,"Cristina Di Muri, Martina Pulieri, Davide Raho, Alexandra N Muresan, Andrea Tarallo, Jessica Titocci, Enrica Nestola, Alberto Basset, Sabrina Mazzoni, Ilaria Rosati",10.1038/s41597-024-03669-3,https://doi.org/10.1038/s41597-024-03669-3,Scientific Data,2,2024
The complexity turn in educational linguistics,Francis M. Hult,10.1080/07908318.2010.515992,https://doi.org/10.1080/07908318.2010.515992,-,15,2010
Towards new ideologies and pedagogies of multilingualism: innovations in interdisciplinary language education in Luxembourg,Haley Jean De Korne,10.1080/09500782.2012.663552,https://doi.org/10.1080/09500782.2012.663552,-,20,2012
A unified component-based data-driven framework to support interoperability in the healthcare systems,"Amir Torab-Miandoab, Taha Samad-Soltani, Ahmadreza Jodati, Fariborz Akbarzadeh, Peyman Rezaei-Hachesu",10.1016/j.heliyon.2024.e35036,https://doi.org/10.1016/j.heliyon.2024.e35036,Heliyon,5,2024
Linguistic discreteness and its variable expressions in multilingualism,"Rakesh M. Bhatt, Agnes Bolonyai",10.1177/13670069241255500,https://doi.org/10.1177/13670069241255500,International Journal of Bilingualism,1,2024
Data management in clinical research: Synthesizing stakeholder perspectives,"Stephen B. Johnson, Frank J. Farach, K. Pelphrey, Leon Rozenblit",10.1016/j.jbi.2016.02.014,https://doi.org/10.1016/j.jbi.2016.02.014,Journal of Biomedical Informatics,12,2016
Defining integration capability dimensions and creating a corresponding self-assessment model for inter-organizational projects,"Laura Saukko, K. Aaltonen, H. Haapasalo",10.1108/ijmpb-04-2021-0085,https://doi.org/10.1108/ijmpb-04-2021-0085,International Journal of Managing Projects in Business,3,2022
Developing shared languages,"Marlies Whitehouse, H. Rahm, Séverine Wozniak, Steven Breunig, Gianni De Nardi, Frédérick Dionne, M. Fujio, Eva Graf, I. Matic, Christopher J. McKenna, Felix Steiner, Silga Sviķe",10.1075/aila.00038.int,https://doi.org/10.1075/aila.00038.int,AILA Review,4,2021
"American Association for Applied Linguistics Colloquia, 2010","J. Cenoz, D. Gorter",10.1017/S0261444810000534,https://doi.org/10.1017/S0261444810000534,Language Teaching,1,2011
eHealth,"B. Blobel, J. Zvárová",10.1055/s-0038-1625240,https://doi.org/10.1055/s-0038-1625240,Methods of Information in Medicine,64,2010
Mixing apples and oranges: Assessing ecological status and its confidence from multiple and diverse indicators.,"J. Carstensen, Ciaran Murray, M. Lindegarth",10.1016/j.jenvman.2023.118625,https://doi.org/10.1016/j.jenvman.2023.118625,Journal of Environmental Management,6,2023
The GEOSS solution for enabling data interoperability and integrative research,"S. Nativi, P. Mazzetti, M. Craglia, N. Pirrone",10.1007/s11356-013-2264-y,https://doi.org/10.1007/s11356-013-2264-y,Environmental science and pollution research international,18,2014
Multilingualism in companies: an introduction,"Tamah Sherman, M. Strubell",10.1080/01434632.2013.807269,https://doi.org/10.1080/01434632.2013.807269,-,10,2013
Legal Interoperability as a Comprehensive Concept in Transnational Law,"A. Santosuosso, Alessandra Malerba",10.5235/17579961.6.1.51,https://doi.org/10.5235/17579961.6.1.51,-,11,2014
The Challenge of Cross-language Interoperability,D. Chisnall,10.1145/2542661.2543971,https://doi.org/10.1145/2542661.2543971,Queue,26,2013
Preparing Teachers for Linguistically Diverse Classrooms—A Systematic Review on Interventions and Intersectional Perspectives,"Sarah Volknant, Ulla Licandro",10.3390/educsci14080846,https://doi.org/10.3390/educsci14080846,Education sciences,0,2024
On the evaluation of thesaurus tools compatible with the Semantic Web,"M. Martínez-González, María-Luisa Alvite-Díez",10.1177/0165551514545603,https://doi.org/10.1177/0165551514545603,Journal of information science,12,2014
The Evolutionary Convergence of Technical Communication and Translation: An Integrative Literature Review of Scholarship From 2000 to 2022,"Giuseppe Palumbo, A. Duin",10.1109/TPC.2024.3411888,https://doi.org/10.1109/TPC.2024.3411888,IEEE Transactions on Professional Communication,0,2024
System requirements-OSS components: matching and mismatch resolution practices – an empirical study,"Claudia P. Ayala, A. Duc, Xavier Franch, Martin Höst, R. Conradi, D. Cruzes, M. Babar",10.1007/s10664-017-9594-1,https://doi.org/10.1007/s10664-017-9594-1,Empirical Software Engineering,14,2018
A critical review on the toxicological and epidemiological evidence integration for assessing human health risks to environmental chemical exposures,"G. Donzelli, R. Gehring, S. Murugadoss, T. Roos, A. Schaffert, N. Linzalone",10.1515/reveh-2024-0072,https://doi.org/10.1515/reveh-2024-0072,Reviews on Environmental Health,2,2024
"Multilingual healthcare communication: Stumbling blocks, solutions, recommendations.","Demi Krystallidou, W. Langewitz, M. E. van den Muijsenbergh",10.1016/j.pec.2020.09.015,https://doi.org/10.1016/j.pec.2020.09.015,Patient Education and Counseling,18,2020
Evaluate Transferability in Multilingual Analysis,"Justin Chun-ting Ho, Chung-hong Chan",10.5117/ccr2023.2.2.ho,https://doi.org/10.5117/ccr2023.2.2.ho,Computational Communication Research,0,2023
Book Review: Multilingual Testing and Assessment,Beverly A. Baker,10.1177/02655322221114895,https://doi.org/10.1177/02655322221114895,Language Testing,0,2022
"Experimental IR Meets Multilinguality, Multimodality, and Interaction","Hanna Suominen, Liadh Kelly, Lorraine Goeuriot, A. Névéol, Lionel Ramadier, Aude Robert, E. Kanoulas, René Spijker, Leif Azzopardi, Dan Li, Jimmy, João Palotti, Guido Zuccon",10.1007/978-3-319-65813-1,https://doi.org/10.1007/978-3-319-65813-1,Lecture Notes in Computer Science,51,2017
Towards a sustainable integrated management approach to uncertainty surrounding COVID‐19,"Tiep Nguyen, Leonie Hallo, N. Chileshe, Nghia Hoai Nguyen",10.1002/sres.2936,https://doi.org/10.1002/sres.2936,Systems research and behavioral science,4,2023
A new approach towards systems integration within the mechatronic engineering design process of manufacturing systems,"Malte Prösser, P. Moore, X. Chen, C. Wong, Ulrich Schmidt",10.1080/0951192X.2013.785026,https://doi.org/10.1080/0951192X.2013.785026,International journal of computer integrated manufacturing (Print),11,2013
Machine Translation Vs. Multilingual Dictionaries Assessing Two Strategies for the Topic Modeling of Multilingual Text Collections,"D. Maier, C. Baden, Daniela Stoltenberg, Maya De Vries-Kedem, A. Waldherr",10.1080/19312458.2021.1955845,https://doi.org/10.1080/19312458.2021.1955845,Communication Methods and Measures,35,2021
Multilingual Approaches for Teaching and Learning: From Acknowledging to Capitalizing on Multilingualism in European Mainstream Education,Vannessa Quintana Sarria,10.1080/14790718.2021.1874959,https://doi.org/10.1080/14790718.2021.1874959,-,25,2021
Integration of techno-economic and life cycle assessment: Defining and applying integration types for chemical technology development,"Johannes Wunderlich, Katy Armstrong, G. Buchner, P. Styring, R. Schomäcker",10.1016/j.jclepro.2020.125021,https://doi.org/10.1016/j.jclepro.2020.125021,-,42,2020
Enhancing factory data integration through the development of an ontology: from the reference models reuse to the semantic conversion of the legacy models,"G. Modoni, M. Doukas, W. Terkaj, M. Sacco, D. Mourtzis",10.1080/0951192X.2016.1268720,https://doi.org/10.1080/0951192X.2016.1268720,International journal of computer integrated manufacturing (Print),33,2017
"Discussion: multiple approaches in CLIL: cognitive, affective and linguistic insights",Ana Llinares,10.1080/13670050.2021.1918055,https://doi.org/10.1080/13670050.2021.1918055,International Journal of Bilingual Education and Bilingualism,2,2021
VERTa: a linguistic approach to automatic machine translation evaluation,"Elisabet Comelles, Jordi Atserias",10.1007/s10579-018-9430-2,https://doi.org/10.1007/s10579-018-9430-2,Language Resources and Evaluation,14,2018
Intercultural space – A review of the literature,"Peiru Chen, Andrea Borsari",10.1016/j.ijintrel.2024.101934,https://doi.org/10.1016/j.ijintrel.2024.101934,International Journal of Intercultural Relations,2,2024
A model-driven approach to machine learning and software modeling for the IoT,"Armin Moin, Moharram Challenger, A. Badii, Stephan Gunnemann",10.1007/s10270-021-00967-x,https://doi.org/10.1007/s10270-021-00967-x,Journal of Software and Systems Modeling,17,2021
The Construct of Multilingualism in Language Testing,"Jamie L. Schissel, C. Leung, Micheline B. Chalhoub-Deville",10.1080/15434303.2019.1680679,https://doi.org/10.1080/15434303.2019.1680679,Language Assessment Quarterly,27,2019
Reassembling Technical Communication: A Framework for Studying Multilingual and Multimodal Practices in Global Contexts,S. Fraiberg,10.1080/10572252.2013.735635,https://doi.org/10.1080/10572252.2013.735635,-,30,2013
Subword-based Semantic Retrieval of Clinical and Bibliographic Documents,"Daumke P, Schulz S, Müller Ml, Dzeyk W, Prinzen L, Pacheco Ej, Secco Cancian, Nohama P, Marko K",10.3414/ME9303,https://doi.org/10.3414/ME9303,Methods of Information in Medicine,15,2010
Integrating Content and Language Instruction for Multilingual Learners: A Systematic Review Across Program Types,"Lisa M. Domke, María A. Cerrato",10.3102/00346543241298667,https://doi.org/10.3102/00346543241298667,Review of Educational Research,2,2024
Situative Interdisciplinarity: Empirical Reflections on Ten Years of Cross-Disciplinary Research,"Rachel Reckinger, C. Wille",10.2478/ajis-2018-0055,https://doi.org/10.2478/ajis-2018-0055,Academic Journal of Interdisciplinary Studies,5,2018
Introduction: Journeys of integration between multiple worlds: reconceptualising multilingualism through complex transnational spaces,J. Clark,10.1080/14790718.2011.644555,https://doi.org/10.1080/14790718.2011.644555,-,4,2012
Developing intercultural competence in multilingual and multicultural student groups,Sabine Krajewski,10.1177/1475240911408563,https://doi.org/10.1177/1475240911408563,-,77,2011
Multilingual audio information management system based on semantic knowledge in complex environments,"K. L. D. Ipiña, N. Barroso, P. Calvo, Carmen Hernández, A. Ezeiza, Unai Susperregi, Elsa Fernández",10.1007/s00521-019-04618-7,https://doi.org/10.1007/s00521-019-04618-7,Neural computing & applications (Print),5,2020
"Envisioning multilingualism in source-based writing in L1, L2, and L3: The relation between source use and text quality","L. Chau, M. Leijten, S. Bernolet, Lieve Vangehuchten",10.3389/fpsyg.2022.914125,https://doi.org/10.3389/fpsyg.2022.914125,Frontiers in Psychology,7,2022
Views on multilingualism and internationalisation in higher education: administrative staff in the spotlight,"Enric Llurda, J. Cots, Lurdes Armengol",10.1080/01434632.2013.874435,https://doi.org/10.1080/01434632.2013.874435,-,32,2014
Semantic Normalization and Query Abstraction Based on SNOMED-CT and HL7: Supporting Multicentric Clinical Trials,"S. Paraíso-Medina, D. Pérez-Rey, A. Bucur, B. Claerhout, R. Alonso-Calvo",10.1109/JBHI.2014.2357025,https://doi.org/10.1109/JBHI.2014.2357025,IEEE journal of biomedical and health informatics,18,2015
The Representational Challenge of Integration and Interoperability in Transformed Health Ecosystems,"Bernd Blobel, F. Oemig, P. Ruotsalainen, Mathias Brochhausen, Kevin W. Sexton, Mauro Giacomini",10.3390/jpm15010004,https://doi.org/10.3390/jpm15010004,Journal of Personalized Medicine,0,2024
Addressing linguistic diversity in the European Union: Strategies and dilemmas,"P. Kraus, Rūta Kazlauskaitė-Gürbüz",10.1177/1468796814528693,https://doi.org/10.1177/1468796814528693,-,16,2014
